date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-10-02,0,24,42,0,3,3,0,7,132,104,0,7,0,0,0,0,0,0
2014-10-03,0,24,42,0,3,3,0,8,156,104,0,8,0,0,0,0,0,0
2014-10-04,0,25,42,0,3,3,0,9,180,104,0,9,0,0,0,0,0,0
2014-10-05,0,24,42,0,3,3,0,9,204,104,0,9,0,0,0,0,0,0
2014-10-06,0,24,42,0,3,3,0,10,228,104,0,10,0,0,0,0,0,0
2014-10-07,0,24,42,0,3,3,0,11,252,104,0,11,0,0,0,0,0,0
2014-10-08,0,25,42,0,3,3,0,12,276,104,0,12,0,0,0,0,0,0
2014-10-09,0,24,42,0,3,3,0,13,300,104,0,13,0,0,0,0,0,0
2014-10-10,0,24,42,0,3,3,0,13,324,104,0,13,0,0,0,0,0,0
2014-10-11,0,24,42,0,3,3,0,13,348,104,0,13,0,0,0,0,0,0
2014-10-12,0,25,42,0,3,3,0,13,372,104,0,13,0,0,0,0,0,0
2014-10-13,0,24,42,0,3,3,0,13,396,104,0,13,0,0,0,0,0,0
2014-10-14,0,23,42,0,3,3,0,13,420,104,0,13,0,0,0,0,0,0
2014-10-15,0,23,42,0,3,3,0,13,444,104,0,13,0,0,0,0,0,0
2014-10-16,0,23,42,0,3,3,0,13,468,104,0,13,0,0,0,0,0,0
2014-10-17,0,23,42,0,3,3,0,13,492,104,0,13,0,0,0,0,0,0
2014-10-18,0,23,42,0,3,3,0,13,516,104,0,13,0,0,0,0,0,0
2014-10-19,0,23,42,0,3,3,0,13,540,104,0,13,0,0,0,0,0,0
2014-10-20,0,23,42,0,3,3,0,13,564,104,0,13,0,0,0,0,0,0
2014-10-21,0,23,42,0,3,3,0,13,588,104,0,13,0,0,0,0,0,0
2014-10-22,0,24,42,0,3,3,0,13,612,104,0,13,0,0,0,0,0,0
2014-10-23,0,24,42,0,3,3,0,13,636,104,0,13,0,0,0,0,0,0
2014-10-24,0,23,42,0,3,3,0,13,660,104,0,13,0,0,0,0,0,0
2014-10-25,0,23,42,0,3,3,0,13,684,104,0,13,0,0,0,0,0,0
2014-10-26,0,23,42,0,3,3,0,13,708,104,0,13,0,0,0,0,0,0
2014-10-27,0,24,42,0,3,3,0,13,732,104,0,13,0,0,0,0,0,0
2014-10-28,0,23,42,0,3,3,0,13,756,104,0,13,0,0,0,0,0,0
2014-10-29,0,24,42,0,3,3,0,14,780,104,0,14,0,0,0,0,0,0
2014-10-30,0,24,42,0,3,3,0,15,804,104,0,15,0,0,0,0,0,0
2014-10-31,0,24,42,0,3,3,0,15,828,104,0,15,0,0,0,0,0,0
2014-11-01,0,24,42,0,3,3,0,16,852,104,0,16,0,0,0,0,0,0
2014-11-03,0,24,42,0,3,3,0,18,901,104,0,18,0,0,0,0,0,0
2014-11-04,0,24,42,0,3,3,0,19,925,104,0,19,0,0,0,0,0,0
2014-11-05,0,26,42,0,3,3,0,19,949,104,0,19,0,0,0,0,0,0
