date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-21,0,32,42,0,1,1,0,2,30,102,0,2,0,0,0,0,0,0
2014-08-22,0,27,42,0,1,1,0,3,54,102,0,3,0,0,0,0,0,0
2014-08-23,0,27,42,0,1,1,0,4,78,102,0,4,0,0,0,0,0,0
2014-08-24,0,27,42,0,1,1,0,5,102,102,0,5,0,0,0,0,0,0
2014-08-25,0,28,42,0,1,1,0,6,126,102,0,6,0,0,0,0,0,0
2014-08-26,0,26,42,0,1,1,0,7,150,102,0,7,0,0,0,0,0,0
2014-08-27,0,26,42,0,1,1,0,8,174,102,0,8,0,0,0,0,0,0
2014-08-28,0,26,42,0,1,1,0,9,199,102,0,9,0,0,0,0,0,0
2014-08-29,0,26,42,0,1,1,0,10,222,102,0,10,0,0,0,0,0,0
2014-10-09,0,24,42,0,1,1,0,21,1206,103,0,21,0,0,0,0,0,0
2014-10-10,0,25,42,0,1,1,0,21,1230,103,0,21,0,0,0,0,0,0
2014-10-11,0,25,40,0,1,1,0,22,1254,104,0,22,0,0,0,0,0,0
2014-10-12,0,25,40,0,1,1,0,22,1278,104,0,22,0,0,0,0,0,0
2014-10-13,0,25,40,0,1,1,0,22,1302,104,0,22,0,0,0,0,0,0
2014-10-14,0,24,42,0,1,1,0,23,1326,104,0,23,0,0,0,0,0,0
2014-10-15,0,24,42,0,1,1,0,23,1350,104,0,23,0,0,0,0,0,0
2014-10-16,0,25,42,0,1,1,0,23,1374,104,0,23,0,0,0,0,0,0
2014-10-17,0,25,41,0,1,1,0,24,1399,104,0,24,0,0,0,0,0,0
2014-10-18,0,25,41,0,1,1,0,25,1422,104,0,25,0,0,0,0,0,0
2014-10-19,0,25,41,0,1,1,0,25,1446,104,0,25,0,0,0,0,0,0
2014-10-20,0,24,41,0,1,1,0,26,1470,104,0,26,0,0,0,0,0,0
2014-10-21,0,24,41,0,1,1,0,26,1494,104,0,26,0,0,0,0,0,0
2014-10-22,0,24,42,0,1,1,0,27,1518,104,0,27,0,0,0,0,0,0
2014-10-23,0,24,41,0,1,1,0,28,1542,104,0,28,0,0,0,0,0,0
2014-10-24,0,25,41,0,1,1,0,28,1567,103,0,28,0,0,0,0,0,0
2014-10-25,0,25,42,0,1,1,0,29,1590,103,0,29,0,0,0,0,0,0
