date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-11,0,29,42,0,3,3,0,3,84,98,0,3,0,0,0,0,0,0,False,False,False
2014-08-12,0,28,42,0,3,3,0,4,108,98,0,4,0,0,0,0,0,0,False,False,False
2014-08-13,0,29,42,0,3,3,0,4,132,98,0,4,0,0,0,0,0,0,False,False,False
2014-08-14,0,29,42,0,3,3,0,4,156,98,0,4,0,0,0,0,0,0,False,False,False
2014-09-09,0,26,41,0,3,3,0,8,775,99,0,8,0,0,0,0,0,0,False,False,False
2014-09-10,0,27,41,0,3,3,0,8,804,99,0,8,0,0,0,0,0,0,False,False,False
2014-09-11,0,29,42,0,3,3,0,9,828,100,0,9,0,0,0,0,0,0,False,False,False
2014-09-12,0,28,42,0,3,3,0,9,852,100,0,9,0,0,0,0,0,0,False,False,False
2014-09-13,0,28,42,0,3,3,0,9,876,100,0,9,0,0,0,0,0,0,False,False,False
2014-09-14,0,28,42,0,3,3,0,10,900,100,0,10,0,0,0,0,0,0,False,False,False
2014-09-15,0,26,41,0,3,3,0,11,924,100,0,11,0,0,0,0,0,0,False,False,False
2014-09-16,0,26,41,0,3,3,0,11,948,100,0,11,0,0,0,0,0,0,False,False,False
2014-09-17,0,27,42,0,3,3,0,12,972,100,0,12,0,0,0,0,0,0,False,False,False
2014-09-18,0,27,42,0,3,3,0,12,996,100,0,12,0,0,0,0,0,0,False,False,False
