date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,31,,0,,,,,20888,,,,,0,0,,,,False,False,False
2013-04-11,0,31,,0,,,,,20912,,,,,0,0,,,,False,False,False
2013-04-12,0,30,,0,,,,,20936,,,,,0,0,,,,False,False,False
2013-04-13,0,30,,0,,,,,20960,,,,,0,0,,,,False,False,False
2013-04-14,0,30,,0,,,,,20984,,,,,0,0,,,,False,False,False
2013-04-15,0,30,,0,,,,,21008,,,,,0,0,,,,False,False,False
2013-04-16,0,30,,0,,,,,21032,,,,,0,0,,,,False,False,False
2013-04-17,0,30,,0,,,,,21056,,,,,0,0,,,,False,False,False
2013-04-18,0,30,,1,,,,,21080,,,,,0,0,,,,False,False,False
2013-04-19,0,30,,0,,,,,21104,,,,,0,0,,,,False,False,False
2013-04-20,0,30,,65536,,,,,21128,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,21152,,,,,0,0,,,,False,False,False
2013-04-22,0,30,,0,,,,,21176,,,,,0,0,,,,False,False,False
2013-04-23,0,29,,0,,,,,21200,,,,,0,0,,,,False,False,False
2013-04-24,0,29,,0,,,,,21224,,,,,0,0,,,,False,False,False
2013-04-25,0,29,,0,,,,,21248,,,,,0,0,,,,False,False,False
2013-04-26,0,29,,0,,,,,21272,,,,,0,0,,,,False,False,False
2013-04-27,0,30,,0,,,,,21296,,,,,0,0,,,,False,False,False
2013-04-28,0,29,,0,,,,,21320,,,,,0,0,,,,False,False,False
2013-04-29,0,28,,0,,,,,21344,,,,,0,0,,,,False,False,False
2013-04-30,0,29,,1,,,,,21368,,,,,0,0,,,,False,False,False
2013-05-01,0,30,,0,,,,,21392,,,,,0,0,,,,False,False,False
2013-05-02,0,30,,0,,,,,21416,,,,,0,0,,,,False,False,False
2013-05-03,0,29,,0,,,,,21440,,,,,0,0,,,,False,False,False
2013-05-04,0,30,,65536,,,,,21464,,,,,0,0,,,,False,False,False
2013-05-05,0,30,,0,,,,,21488,,,,,0,0,,,,False,False,False
2013-05-06,0,30,,0,,,,,21512,,,,,0,0,,,,False,False,False
2013-05-07,0,30,,0,,,,,21536,,,,,0,0,,,,False,False,False
2013-05-08,0,30,,0,,,,,21560,,,,,0,0,,,,False,False,False
2013-05-09,0,30,,0,,,,,21584,,,,,0,0,,,,False,False,False
2013-05-10,0,30,,0,,,,,21608,,,,,0,0,,,,False,False,False
2013-05-11,0,30,,0,,,,,21632,,,,,0,0,,,,False,False,False
2013-05-12,0,30,,0,,,,,21656,,,,,0,0,,,,False,False,False
2013-05-13,0,30,,65536,,,,,21680,,,,,0,0,,,,False,False,False
2013-05-14,0,30,,0,,,,,21704,,,,,0,0,,,,False,False,False
2013-05-15,0,30,,0,,,,,21728,,,,,0,0,,,,False,False,False
2013-05-16,0,30,,0,,,,,21752,,,,,0,0,,,,False,False,False
2013-05-17,0,30,,1,,,,,21776,,,,,0,0,,,,False,False,False
2013-05-18,0,30,,0,,,,,21800,,,,,0,0,,,,False,False,False
2013-05-19,0,30,,0,,,,,21824,,,,,0,0,,,,False,False,False
2013-05-20,0,30,,0,,,,,21848,,,,,0,0,,,,False,False,False
2013-05-21,0,29,,0,,,,,21872,,,,,0,0,,,,False,False,False
2013-05-22,0,30,,0,,,,,21896,,,,,0,0,,,,False,False,False
2013-05-23,0,30,,0,,,,,21920,,,,,0,0,,,,False,False,False
2013-05-24,0,30,,0,,,,,21944,,,,,0,0,,,,False,False,False
2013-05-25,0,30,,0,,,,,21968,,,,,0,0,,,,False,False,False
2013-05-26,0,30,,0,,,,,21992,,,,,0,0,,,,False,False,False
2013-05-27,0,30,,0,,,,,22016,,,,,0,0,,,,False,False,False
2013-05-28,0,30,,0,,,,,22040,,,,,0,0,,,,False,False,False
2013-05-29,0,30,,0,,,,,22064,,,,,0,0,,,,False,False,False
2013-05-30,0,30,,0,,,,,22088,,,,,0,0,,,,False,False,False
2013-05-31,0,30,,0,,,,,22112,,,,,0,0,,,,False,False,False
2013-06-01,0,29,,0,,,,,22136,,,,,0,0,,,,False,False,False
2013-06-02,0,30,,0,,,,,22160,,,,,0,0,,,,False,False,False
2013-06-03,0,30,,0,,,,,22184,,,,,0,0,,,,False,False,False
2013-06-04,0,30,,0,,,,,22208,,,,,0,0,,,,False,False,False
2013-06-05,0,30,,0,,,,,22232,,,,,0,0,,,,False,False,False
2013-06-06,0,29,,0,,,,,22256,,,,,0,0,,,,False,False,False
2013-06-07,0,29,,0,,,,,22280,,,,,0,0,,,,False,False,False
2013-06-08,0,29,,0,,,,,22304,,,,,0,0,,,,False,False,False
2013-06-09,0,30,,0,,,,,22328,,,,,0,0,,,,False,False,False
2013-06-10,0,29,,0,,,,,22352,,,,,0,0,,,,False,False,False
2013-06-11,0,29,,0,,,,,22376,,,,,0,0,,,,False,False,False
2013-06-12,0,29,,0,,,,,22400,,,,,0,0,,,,False,False,False
2013-06-13,0,29,,0,,,,,22424,,,,,0,0,,,,False,False,False
2013-06-14,0,29,,0,,,,,22448,,,,,0,0,,,,False,False,False
2013-06-15,0,29,,0,,,,,22472,,,,,0,0,,,,False,False,False
2013-06-16,0,30,,0,,,,,22496,,,,,0,0,,,,False,False,False
2013-06-17,0,29,,1,,,,,22520,,,,,0,0,,,,False,False,False
2013-06-18,0,30,,0,,,,,22544,,,,,0,0,,,,False,False,False
2013-06-19,0,29,,1,,,,,22568,,,,,0,0,,,,False,False,False
2013-06-20,0,29,,65536,,,,,22592,,,,,0,0,,,,False,False,False
2013-06-21,0,29,,0,,,,,22616,,,,,0,0,,,,False,False,False
2013-06-22,0,30,,0,,,,,22640,,,,,0,0,,,,False,False,False
2013-06-23,0,30,,0,,,,,22664,,,,,0,0,,,,False,False,False
2013-06-24,0,29,,0,,,,,22688,,,,,0,0,,,,False,False,False
2013-06-25,0,30,,0,,,,,22712,,,,,0,0,,,,False,False,False
2013-06-26,0,32,,0,,,,,22736,,,,,0,0,,,,False,False,False
2013-06-27,0,29,,0,,,,,22760,,,,,0,0,,,,False,False,False
2013-06-28,0,30,,0,,,,,22784,,,,,0,0,,,,False,False,False
2013-06-29,0,29,,0,,,,,22808,,,,,0,0,,,,False,False,False
2013-06-30,0,30,,0,,,,,22832,,,,,0,0,,,,False,False,False
2013-07-01,0,30,,0,,,,,22856,,,,,0,0,,,,False,False,False
2013-07-02,0,29,,0,,,,,22880,,,,,0,0,,,,False,False,False
2013-07-03,0,29,,0,,,,,22904,,,,,0,0,,,,False,False,False
2013-07-04,0,29,,0,,,,,22928,,,,,0,0,,,,False,False,False
2013-07-05,0,29,,0,,,,,22952,,,,,0,0,,,,False,False,False
2013-07-06,0,29,,65536,,,,,22976,,,,,0,0,,,,False,False,False
2013-07-07,0,29,,0,,,,,23000,,,,,0,0,,,,False,False,False
2013-07-08,0,30,,0,,,,,23024,,,,,0,0,,,,False,False,False
2013-07-09,0,29,,0,,,,,23048,,,,,0,0,,,,False,False,False
2013-07-10,0,29,,0,,,,,23072,,,,,0,0,,,,False,False,False
2013-07-11,0,32,,0,,,,,23096,,,,,0,0,,,,False,False,False
2013-07-12,0,31,,0,,,,,23120,,,,,0,0,,,,False,False,False
2013-07-13,0,32,,1,,,,,23144,,,,,0,0,,,,False,False,False
2013-07-14,0,31,,0,,,,,23168,,,,,0,0,,,,False,False,False
2013-07-15,0,31,,0,,,,,23192,,,,,0,0,,,,False,False,False
2013-07-16,0,32,,0,,,,,23216,,,,,0,0,,,,False,False,False
2013-07-17,0,31,,0,,,,,23240,,,,,0,0,,,,False,False,False
2013-07-18,0,32,,0,,,,,23264,,,,,0,0,,,,False,False,False
2013-07-19,0,31,,0,,,,,23288,,,,,0,0,,,,False,False,False
2013-07-20,0,31,,0,,,,,23312,,,,,0,0,,,,False,False,False
2013-07-21,0,31,,0,,,,,23336,,,,,0,0,,,,False,False,False
2013-07-22,0,31,,0,,,,,23360,,,,,0,0,,,,False,False,False
2013-07-23,0,31,,0,,,,,23384,,,,,0,0,,,,False,False,False
2013-07-24,0,23,,0,,,,,23403,,,,,0,0,,,,False,False,False
2013-07-25,0,23,,1,,,,,23427,,,,,0,0,,,,False,False,False
2013-07-26,0,23,,0,,,,,23451,,,,,0,0,,,,False,False,False
2013-07-27,0,23,,0,,,,,23475,,,,,0,0,,,,False,False,False
2013-07-28,0,23,,0,,,,,23499,,,,,0,0,,,,False,False,False
2013-07-29,0,23,,1,,,,,23523,,,,,0,0,,,,False,False,False
2013-07-30,0,23,,0,,,,,23547,,,,,0,0,,,,False,False,False
2013-07-31,0,23,,2,,,,,23571,,,,,0,0,,,,False,False,False
2013-08-01,0,23,,0,,,,,23595,,,,,0,0,,,,False,False,False
2013-08-02,0,22,,0,,,,,23619,,,,,0,0,,,,False,False,False
2013-08-03,0,23,,0,,,,,23643,,,,,0,0,,,,False,False,False
2013-08-04,0,23,,0,,,,,23667,,,,,0,0,,,,False,False,False
2013-08-05,0,23,,0,,,,,23691,,,,,0,0,,,,False,False,False
2013-08-06,0,24,,1,,,,,23715,,,,,0,0,,,,False,False,False
2013-08-07,0,23,,0,,,,,23739,,,,,0,0,,,,False,False,False
2013-08-08,0,23,,0,,,,,23763,,,,,0,0,,,,False,False,False
2013-08-09,0,24,,1,,,,,23787,,,,,0,0,,,,False,False,False
2013-08-10,0,24,,0,,,,,23811,,,,,0,0,,,,False,False,False
2013-08-11,0,23,,0,,,,,23835,,,,,0,0,,,,False,False,False
2013-08-12,0,23,,0,,,,,23859,,,,,0,0,,,,False,False,False
2013-08-13,0,23,,0,,,,,23883,,,,,0,0,,,,False,False,False
2013-08-14,0,23,,0,,,,,23907,,,,,0,0,,,,False,False,False
2013-08-15,0,24,,65536,,,,,23931,,,,,0,0,,,,False,False,False
2013-08-16,0,24,,0,,,,,23955,,,,,0,0,,,,False,False,False
2013-08-17,0,23,,0,,,,,23979,,,,,0,0,,,,False,False,False
2013-08-18,0,23,,0,,,,,24003,,,,,0,0,,,,False,False,False
2013-08-19,0,24,,0,,,,,24027,,,,,0,0,,,,False,False,False
2013-10-15,0,24,,0,,,,,25395,,,,,0,0,,,,False,False,False
2013-10-16,0,24,,0,,,,,25419,,,,,0,0,,,,False,False,False
2013-10-17,0,24,,0,,,,,25443,,,,,0,0,,,,False,False,False
2013-10-18,0,24,,0,,,,,25467,,,,,0,0,,,,False,False,False
2013-10-19,0,24,,0,,,,,25491,,,,,0,0,,,,False,False,False
2013-10-20,0,24,,0,,,,,25515,,,,,0,0,,,,False,False,False
2013-10-21,0,24,,0,,,,,25539,,,,,0,0,,,,False,False,False
2013-10-22,0,24,,0,,,,,25563,,,,,0,0,,,,False,False,False
2013-10-23,0,24,,0,,,,,25587,,,,,0,0,,,,False,False,False
2013-10-24,0,24,,0,,,,,25611,,,,,0,0,,,,False,False,False
2013-10-25,0,24,,0,,,,,25635,,,,,0,0,,,,False,False,False
2013-10-26,0,24,,0,,,,,25659,,,,,0,0,,,,False,False,False
2013-10-27,0,24,,0,,,,,25683,,,,,0,0,,,,False,False,False
2013-10-28,0,24,,0,,,,,25707,,,,,0,0,,,,False,False,False
2013-10-29,0,24,,0,,,,,25731,,,,,0,0,,,,False,False,False
2013-10-30,0,24,,0,,,,,25755,,,,,0,0,,,,False,False,False
2013-10-31,0,25,,0,,,,,25779,,,,,0,0,,,,False,False,False
2013-11-01,0,25,,0,,,,,25803,,,,,0,0,,,,False,False,False
2013-11-02,0,25,,0,,,,,25827,,,,,0,0,,,,False,False,False
2013-11-03,0,24,,0,,,,,25851,,,,,0,0,,,,False,False,False
2013-11-04,0,26,,0,,,,,25876,,,,,0,0,,,,False,False,False
2013-11-05,0,24,,0,,,,,25900,,,,,0,0,,,,False,False,False
2013-11-06,0,26,,0,,,,,25924,,,,,0,0,,,,False,False,False
2013-11-07,0,23,,0,,,,,25948,,,,,0,0,,,,False,False,False
2013-11-08,0,24,,0,,,,,25972,,,,,0,0,,,,False,False,False
2013-11-09,0,24,,0,,,,,25996,,,,,0,0,,,,False,False,False
2013-11-10,0,26,,0,,,,,26020,,,,,0,0,,,,False,False,False
2013-11-11,0,27,,0,,,,,26044,,,,,0,0,,,,False,False,False
2013-11-12,0,23,,0,,,,,26068,,,,,0,0,,,,False,False,False
2013-11-13,0,24,,0,,,,,26092,,,,,0,0,,,,False,False,False
2013-11-14,0,23,,0,,,,,26116,,,,,0,0,,,,False,False,False
2013-11-15,0,23,,0,,,,,26140,,,,,0,0,,,,False,False,False
2013-11-16,0,24,,1,,,,,26164,,,,,0,0,,,,False,False,False
2013-11-17,0,24,,0,,,,,26188,,,,,0,0,,,,False,False,False
2013-11-18,0,24,,0,,,,,26212,,,,,0,0,,,,False,False,False
2013-11-19,0,24,,0,,,,,26236,,,,,0,0,,,,False,False,False
2013-11-20,0,24,,0,,,,,26260,,,,,0,0,,,,False,False,False
2013-11-21,0,23,,0,,,,,26284,,,,,0,0,,,,False,False,False
2013-11-22,0,24,,0,,,,,26308,,,,,0,0,,,,False,False,False
2013-11-23,0,25,,0,,,,,26332,,,,,0,0,,,,False,False,False
2013-11-24,0,24,,0,,,,,26356,,,,,0,0,,,,False,False,False
2013-11-25,0,24,,0,,,,,26380,,,,,0,0,,,,False,False,False
2013-11-26,0,23,,0,,,,,26404,,,,,0,0,,,,False,False,False
2013-11-27,0,24,,0,,,,,26428,,,,,0,0,,,,False,False,False
2013-11-28,0,24,,0,,,,,26452,,,,,0,0,,,,False,False,False
2013-11-29,0,24,,0,,,,,26476,,,,,0,0,,,,False,False,False
2013-11-30,0,24,,0,,,,,26500,,,,,0,0,,,,False,False,False
2013-12-01,0,24,,0,,,,,26524,,,,,0,0,,,,False,False,False
2013-12-02,0,24,,0,,,,,26548,,,,,0,0,,,,False,False,False
2013-12-03,0,24,,0,,,,,26572,,,,,0,0,,,,False,False,False
2013-12-04,0,24,,0,,,,,26596,,,,,0,0,,,,False,False,False
2013-12-05,0,23,,0,,,,,26620,,,,,0,0,,,,False,False,False
2013-12-06,0,23,,0,,,,,26644,,,,,0,0,,,,False,False,False
2013-12-07,0,24,,0,,,,,26668,,,,,0,0,,,,False,False,False
2013-12-08,0,24,,0,,,,,26692,,,,,0,0,,,,False,False,False
2013-12-09,0,25,,0,,,,,26716,,,,,0,0,,,,False,False,False
2013-12-10,0,26,,0,,,,,26740,,,,,0,0,,,,False,False,False
2013-12-11,0,24,,0,,,,,26764,,,,,0,0,,,,False,False,False
2013-12-12,0,24,,0,,,,,26788,,,,,0,0,,,,False,False,False
2013-12-13,0,24,,0,,,,,26812,,,,,0,0,,,,False,False,False
2013-12-14,0,24,,0,,,,,26836,,,,,0,0,,,,False,False,False
2013-12-15,0,24,,1,,,,,26860,,,,,0,0,,,,False,False,False
2013-12-16,0,25,,0,,,,,26884,,,,,0,0,,,,False,False,False
2013-12-17,0,25,,1,,,,,26908,,,,,0,0,,,,False,False,False
2013-12-18,0,24,,0,,,,,26932,,,,,0,0,,,,False,False,False
2013-12-19,0,24,,0,,,,,26956,,,,,0,0,,,,False,False,False
2013-12-20,0,24,,0,,,,,26980,,,,,0,0,,,,False,False,False
2013-12-21,0,24,,0,,,,,27004,,,,,0,0,,,,False,False,False
2013-12-22,0,24,,0,,,,,27028,,,,,0,0,,,,False,False,False
2013-12-23,0,24,,0,,,,,27052,,,,,0,0,,,,False,False,False
2013-12-24,0,24,,0,,,,,27076,,,,,0,0,,,,False,False,False
2013-12-25,0,24,,65536,,,,,27100,,,,,0,0,,,,False,False,False
2013-12-26,0,25,,0,,,,,27124,,,,,0,0,,,,False,False,False
2013-12-27,0,24,,0,,,,,27148,,,,,0,0,,,,False,False,False
2013-12-28,0,24,,1,,,,,27172,,,,,0,0,,,,False,False,False
2013-12-29,0,24,,0,,,,,27196,,,,,0,0,,,,False,False,False
2013-12-30,0,25,,0,,,,,27220,,,,,0,0,,,,False,False,False
2013-12-31,0,24,,0,,,,,27244,,,,,0,0,,,,False,False,False
2014-01-01,0,23,,0,,,,,27268,,,,,0,0,,,,False,False,False
2014-01-02,0,24,,0,,,,,27292,,,,,0,0,,,,False,False,False
