date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,27,,0,,,,,20983,,,,,0,0,,,,False,False,False
2013-04-11,0,27,,0,,,,,21006,,,,,0,0,,,,False,False,False
2013-04-12,0,28,,0,,,,,21031,,,,,0,0,,,,False,False,False
2013-04-13,0,27,,0,,,,,21055,,,,,0,0,,,,False,False,False
2013-04-14,0,28,,0,,,,,21079,,,,,0,0,,,,False,False,False
2013-04-15,0,28,,0,,,,,21102,,,,,0,0,,,,False,False,False
2013-04-16,0,28,,0,,,,,21127,,,,,0,0,,,,False,False,False
2013-04-17,0,28,,1,,,,,21151,,,,,0,0,,,,False,False,False
2013-04-18,0,27,,0,,,,,21175,,,,,0,0,,,,False,False,False
2013-04-19,0,27,,0,,,,,21198,,,,,0,0,,,,False,False,False
2013-04-20,0,28,,0,,,,,21222,,,,,0,0,,,,False,False,False
2013-04-21,0,28,,0,,,,,21247,,,,,0,0,,,,False,False,False
2013-04-22,0,28,,0,,,,,21271,,,,,0,0,,,,False,False,False
2013-04-23,0,28,,0,,,,,21295,,,,,0,0,,,,False,False,False
2013-04-24,0,28,,0,,,,,21318,,,,,0,0,,,,False,False,False
2013-04-25,0,28,,0,,,,,21343,,,,,0,0,,,,False,False,False
2013-04-26,0,27,,0,,,,,21367,,,,,0,0,,,,False,False,False
2013-04-27,0,27,,1,,,,,21391,,,,,0,0,,,,False,False,False
2013-04-28,0,28,,0,,,,,21415,,,,,0,0,,,,False,False,False
2013-04-29,0,27,,0,,,,,21439,,,,,0,0,,,,False,False,False
2013-04-30,0,27,,0,,,,,21463,,,,,0,0,,,,False,False,False
2013-05-01,0,28,,0,,,,,21487,,,,,0,0,,,,False,False,False
2013-05-02,0,26,,0,,,,,21511,,,,,0,0,,,,False,False,False
2013-05-03,0,25,,1,,,,,21535,,,,,0,0,,,,False,False,False
2013-05-04,0,25,,0,,,,,21559,,,,,0,0,,,,False,False,False
2013-05-05,0,25,,0,,,,,21583,,,,,0,0,,,,False,False,False
2013-05-06,0,25,,0,,,,,21607,,,,,0,0,,,,False,False,False
2013-05-07,0,26,,0,,,,,21631,,,,,0,0,,,,False,False,False
2013-05-08,0,26,,0,,,,,21655,,,,,0,0,,,,False,False,False
2013-05-09,0,26,,0,,,,,21679,,,,,0,0,,,,False,False,False
2013-05-10,0,26,,0,,,,,21703,,,,,0,0,,,,False,False,False
2013-05-11,0,25,,0,,,,,21727,,,,,0,0,,,,False,False,False
2013-05-12,0,25,,0,,,,,21751,,,,,0,0,,,,False,False,False
2013-05-13,0,26,,0,,,,,21775,,,,,0,0,,,,False,False,False
2013-05-14,0,26,,0,,,,,21799,,,,,0,0,,,,False,False,False
2013-05-15,0,25,,0,,,,,21823,,,,,0,0,,,,False,False,False
2013-05-16,0,26,,0,,,,,21846,,,,,0,0,,,,False,False,False
2013-05-17,0,26,,0,,,,,21871,,,,,0,0,,,,False,False,False
2013-05-18,0,26,,0,,,,,21895,,,,,0,0,,,,False,False,False
2013-05-19,0,26,,0,,,,,21919,,,,,0,0,,,,False,False,False
2013-05-20,0,26,,0,,,,,21943,,,,,0,0,,,,False,False,False
2013-05-21,0,26,,0,,,,,21967,,,,,0,0,,,,False,False,False
2013-05-22,0,25,,0,,,,,21991,,,,,0,0,,,,False,False,False
2013-05-23,0,26,,0,,,,,22015,,,,,0,0,,,,False,False,False
2013-05-24,0,27,,0,,,,,22039,,,,,0,0,,,,False,False,False
2013-05-25,0,28,,0,,,,,22063,,,,,0,0,,,,False,False,False
2013-05-26,0,28,,0,,,,,22087,,,,,0,0,,,,False,False,False
2013-05-27,0,28,,0,,,,,22111,,,,,0,0,,,,False,False,False
2013-05-28,0,28,,0,,,,,22135,,,,,0,0,,,,False,False,False
2013-05-29,0,28,,0,,,,,22159,,,,,0,0,,,,False,False,False
2013-05-30,0,27,,0,,,,,22183,,,,,0,0,,,,False,False,False
2013-05-31,0,26,,0,,,,,22207,,,,,0,0,,,,False,False,False
2013-06-01,0,26,,0,,,,,22231,,,,,0,0,,,,False,False,False
2013-06-02,0,26,,0,,,,,22255,,,,,0,0,,,,False,False,False
2013-06-03,0,25,,0,,,,,22279,,,,,0,0,,,,False,False,False
2013-06-04,0,26,,0,,,,,22303,,,,,0,0,,,,False,False,False
2013-06-05,0,27,,0,,,,,22327,,,,,0,0,,,,False,False,False
2013-06-06,0,26,,0,,,,,22350,,,,,0,0,,,,False,False,False
2013-06-07,0,26,,0,,,,,22375,,,,,0,0,,,,False,False,False
2013-06-08,0,26,,0,,,,,22399,,,,,0,0,,,,False,False,False
2013-06-09,0,26,,0,,,,,22423,,,,,0,0,,,,False,False,False
2013-06-10,0,27,,0,,,,,22447,,,,,0,0,,,,False,False,False
2013-06-11,0,26,,0,,,,,22471,,,,,0,0,,,,False,False,False
2013-06-12,0,26,,0,,,,,22495,,,,,0,0,,,,False,False,False
2013-06-13,0,26,,0,,,,,22519,,,,,0,0,,,,False,False,False
2013-06-14,0,26,,0,,,,,22543,,,,,0,0,,,,False,False,False
2013-06-15,0,26,,0,,,,,22567,,,,,0,0,,,,False,False,False
2013-06-16,0,26,,0,,,,,22591,,,,,0,0,,,,False,False,False
2013-06-17,0,26,,0,,,,,22615,,,,,0,0,,,,False,False,False
2013-06-18,0,27,,0,,,,,22639,,,,,0,0,,,,False,False,False
2013-06-19,0,26,,0,,,,,22662,,,,,0,0,,,,False,False,False
2013-06-20,0,26,,0,,,,,22687,,,,,0,0,,,,False,False,False
2013-06-21,0,26,,0,,,,,22710,,,,,0,0,,,,False,False,False
2013-06-22,0,26,,0,,,,,22734,,,,,0,0,,,,False,False,False
2013-06-23,0,26,,0,,,,,22759,,,,,0,0,,,,False,False,False
2013-06-24,0,26,,0,,,,,22782,,,,,0,0,,,,False,False,False
2013-06-25,0,27,,0,,,,,22807,,,,,0,0,,,,False,False,False
2013-06-26,0,27,,0,,,,,22831,,,,,0,0,,,,False,False,False
2013-06-27,0,30,,0,,,,,22855,,,,,0,0,,,,False,False,False
2013-06-28,0,30,,0,,,,,22879,,,,,0,0,,,,False,False,False
2013-06-29,0,27,,0,,,,,22903,,,,,0,0,,,,False,False,False
2013-06-30,0,27,,0,,,,,22927,,,,,0,0,,,,False,False,False
2013-07-01,0,29,,0,,,,,22951,,,,,0,0,,,,False,False,False
2013-07-02,0,29,,65536,,,,,22975,,,,,0,0,,,,False,False,False
2013-07-03,0,28,,0,,,,,22999,,,,,0,0,,,,False,False,False
2013-07-04,0,29,,0,,,,,23023,,,,,0,0,,,,False,False,False
2013-07-05,0,28,,0,,,,,23047,,,,,0,0,,,,False,False,False
2013-07-06,0,29,,0,,,,,23071,,,,,0,0,,,,False,False,False
2013-07-07,0,28,,0,,,,,23095,,,,,0,0,,,,False,False,False
2013-07-08,0,30,,0,,,,,23119,,,,,0,0,,,,False,False,False
2013-07-09,0,30,,0,,,,,23143,,,,,0,0,,,,False,False,False
2013-07-10,0,26,,0,,,,,23167,,,,,0,0,,,,False,False,False
2013-07-11,0,29,,0,,,,,23191,,,,,0,0,,,,False,False,False
2013-07-12,0,26,,0,,,,,23215,,,,,0,0,,,,False,False,False
2013-07-13,0,27,,0,,,,,23239,,,,,0,0,,,,False,False,False
2013-07-14,0,27,,0,,,,,23262,,,,,0,0,,,,False,False,False
2013-07-15,0,27,,0,,,,,23287,,,,,0,0,,,,False,False,False
2013-07-16,0,27,,0,,,,,23311,,,,,0,0,,,,False,False,False
2013-07-17,0,26,,0,,,,,23335,,,,,0,0,,,,False,False,False
2013-07-18,0,26,,65536,,,,,23359,,,,,0,0,,,,False,False,False
2013-07-19,0,28,,0,,,,,23383,,,,,0,0,,,,False,False,False
2013-07-20,0,29,,0,,,,,23407,,,,,0,0,,,,False,False,False
2013-07-21,0,29,,0,,,,,23431,,,,,0,0,,,,False,False,False
2013-07-22,0,29,,0,,,,,23455,,,,,0,0,,,,False,False,False
2013-07-23,0,29,,0,,,,,23479,,,,,0,0,,,,False,False,False
2013-07-24,0,25,,0,,,,,23497,,,,,0,0,,,,False,False,False
2013-07-25,0,24,,65536,,,,,23521,,,,,0,0,,,,False,False,False
2013-07-26,0,24,,1,,,,,23545,,,,,0,0,,,,False,False,False
2013-07-27,0,25,,0,,,,,23569,,,,,0,0,,,,False,False,False
2013-07-28,0,25,,0,,,,,23593,,,,,0,0,,,,False,False,False
2013-07-29,0,24,,0,,,,,23617,,,,,0,0,,,,False,False,False
2013-07-30,0,24,,0,,,,,23641,,,,,0,0,,,,False,False,False
2013-07-31,0,24,,0,,,,,23665,,,,,0,0,,,,False,False,False
2013-08-01,0,25,,0,,,,,23689,,,,,0,0,,,,False,False,False
2013-08-02,0,24,,0,,,,,23713,,,,,0,0,,,,False,False,False
2013-08-03,0,24,,0,,,,,23737,,,,,0,0,,,,False,False,False
2013-08-04,0,24,,0,,,,,23761,,,,,0,0,,,,False,False,False
2013-08-05,0,24,,0,,,,,23785,,,,,0,0,,,,False,False,False
