date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,28,,65537,,,,,21288,,,,,0,0,,,
2013-04-11,0,28,,196608,,,,,21312,,,,,0,0,,,
2013-04-12,0,28,,0,,,,,21336,,,,,0,0,,,
2013-04-13,0,28,,0,,,,,21360,,,,,0,0,,,
2013-04-14,0,28,,131073,,,,,21384,,,,,0,0,,,
2013-04-15,0,28,,196612,,,,,21408,,,,,0,0,,,
2013-04-16,0,28,,65537,,,,,21432,,,,,0,0,,,
2013-04-17,0,27,,65536,,,,,21456,,,,,0,0,,,
2013-04-18,0,27,,1,,,,,21480,,,,,0,0,,,
2013-04-19,0,28,,65537,,,,,21504,,,,,0,0,,,
2013-04-20,0,28,,131073,,,,,21528,,,,,0,0,,,
2013-04-21,0,28,,131072,,,,,21552,,,,,0,0,,,
2013-04-22,0,28,,1,,,,,21576,,,,,0,0,,,
2013-04-23,0,28,,2,,,,,21600,,,,,0,0,,,
2013-04-24,0,28,,65536,,,,,21624,,,,,0,0,,,
2013-04-25,0,29,,65537,,,,,21648,,,,,0,0,,,
2013-04-26,0,27,,3,,,,,21672,,,,,0,0,,,
2013-04-27,0,28,,0,,,,,21696,,,,,0,0,,,
2013-04-28,0,27,,65537,,,,,21720,,,,,0,0,,,
2013-04-29,0,26,,2,,,,,21744,,,,,0,0,,,
2013-04-30,0,27,,131073,,,,,21768,,,,,0,0,,,
2013-05-01,0,26,,65537,,,,,21792,,,,,0,0,,,
2013-05-02,0,26,,65537,,,,,21816,,,,,0,0,,,
2013-05-03,0,26,,262145,,,,,21840,,,,,0,0,,,
2013-05-04,0,27,,196610,,,,,21864,,,,,0,0,,,
2013-05-05,0,27,,131072,,,,,21888,,,,,0,0,,,
2013-05-06,0,27,,131074,,,,,21912,,,,,0,0,,,
2013-05-07,0,26,,1,,,,,21936,,,,,0,0,,,
2013-05-08,0,26,,1,,,,,21960,,,,,0,0,,,
2013-05-09,0,27,,2,,,,,21984,,,,,0,0,,,
2013-05-10,0,27,,65538,,,,,22008,,,,,0,0,,,
2013-05-11,0,26,,65537,,,,,22032,,,,,0,0,,,
2013-05-12,0,26,,65536,,,,,22056,,,,,0,0,,,
2013-05-13,0,27,,0,,,,,22080,,,,,0,0,,,
2013-05-14,0,27,,1,,,,,22104,,,,,0,0,,,
2013-05-15,0,26,,2,,,,,22128,,,,,0,0,,,
2013-05-16,0,26,,1,,,,,22152,,,,,0,0,,,
2013-05-17,0,26,,0,,,,,22176,,,,,0,0,,,
2013-05-18,0,26,,65536,,,,,22200,,,,,0,0,,,
2013-05-19,0,26,,1,,,,,22224,,,,,0,0,,,
2013-05-20,0,27,,0,,,,,22248,,,,,0,0,,,
2013-05-21,0,26,,131072,,,,,22272,,,,,0,0,,,
2013-05-22,0,26,,131073,,,,,22296,,,,,0,0,,,
2013-05-23,0,27,,0,,,,,22320,,,,,0,0,,,
2013-05-24,0,27,,1,,,,,22344,,,,,0,0,,,
2013-05-25,0,27,,0,,,,,22368,,,,,0,0,,,
2013-05-26,0,27,,1,,,,,22392,,,,,0,0,,,
2013-05-27,0,27,,0,,,,,22416,,,,,0,0,,,
2013-05-28,0,28,,65537,,,,,22440,,,,,0,0,,,
2013-05-29,0,27,,65536,,,,,22464,,,,,0,0,,,
2013-05-30,0,27,,131072,,,,,22488,,,,,0,0,,,
2013-05-31,0,27,,1,,,,,22512,,,,,0,0,,,
2013-06-01,0,27,,0,,,,,22536,,,,,0,0,,,
2013-06-02,0,27,,0,,,,,22560,,,,,0,0,,,
2013-06-03,0,27,,0,,,,,22584,,,,,0,0,,,
2013-06-04,0,27,,65536,,,,,22608,,,,,0,0,,,
2013-06-05,0,27,,0,,,,,22632,,,,,0,0,,,
2013-06-06,0,26,,196608,,,,,22656,,,,,0,0,,,
2013-06-07,0,26,,0,,,,,22680,,,,,0,0,,,
2013-06-08,0,26,,0,,,,,22704,,,,,0,0,,,
2013-06-09,0,27,,0,,,,,22728,,,,,0,0,,,
2013-06-10,0,27,,1,,,,,22752,,,,,0,0,,,
2013-06-11,0,26,,0,,,,,22776,,,,,0,0,,,
