date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,27,,0,,,,,15605,,,,,0,0,,,,False,False,False
2013-04-11,0,27,,0,,,,,15629,,,,,0,0,,,,False,False,False
2013-04-12,0,27,,0,,,,,15652,,,,,0,0,,,,False,False,False
2013-04-13,0,28,,0,,,,,15676,,,,,0,0,,,,False,False,False
2013-04-14,0,28,,0,,,,,15700,,,,,0,0,,,,False,False,False
2013-04-15,0,28,,0,,,,,15724,,,,,0,0,,,,False,False,False
2013-04-16,0,28,,0,,,,,15748,,,,,0,0,,,,False,False,False
2013-04-17,0,28,,0,,,,,15772,,,,,0,0,,,,False,False,False
2013-04-18,0,27,,0,,,,,15796,,,,,0,0,,,,False,False,False
2013-04-19,0,28,,65536,,,,,15820,,,,,0,0,,,,False,False,False
2013-04-20,0,28,,0,,,,,15844,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,15868,,,,,0,0,,,,False,False,False
2013-04-22,0,28,,0,,,,,15892,,,,,0,0,,,,False,False,False
2013-04-23,0,28,,65536,,,,,15917,,,,,0,0,,,,False,False,False
2013-04-24,0,28,,0,,,,,15940,,,,,0,0,,,,False,False,False
2013-04-25,0,27,,0,,,,,15965,,,,,0,0,,,,False,False,False
2013-04-26,0,29,,0,,,,,15983,,,,,0,0,,,,False,False,False
2013-04-27,0,29,,0,,,,,16007,,,,,0,0,,,,False,False,False
2013-04-28,0,29,,0,,,,,16031,,,,,0,0,,,,False,False,False
2013-04-29,0,29,,0,,,,,16055,,,,,0,0,,,,False,False,False
2013-04-30,0,27,,0,,,,,16079,,,,,0,0,,,,False,False,False
2013-05-01,0,27,,0,,,,,16103,,,,,0,0,,,,False,False,False
2013-05-02,0,29,,0,,,,,16127,,,,,0,0,,,,False,False,False
2013-05-03,0,29,,0,,,,,16151,,,,,0,0,,,,False,False,False
2013-05-04,0,29,,0,,,,,16175,,,,,0,0,,,,False,False,False
2013-05-05,0,29,,0,,,,,16199,,,,,0,0,,,,False,False,False
2013-05-06,0,29,,0,,,,,16223,,,,,0,0,,,,False,False,False
2013-05-07,0,29,,0,,,,,16247,,,,,0,0,,,,False,False,False
2013-05-08,0,28,,0,,,,,16271,,,,,0,0,,,,False,False,False
2013-05-09,0,28,,0,,,,,16295,,,,,0,0,,,,False,False,False
2013-05-10,0,28,,0,,,,,16319,,,,,0,0,,,,False,False,False
2013-05-11,0,28,,0,,,,,16343,,,,,0,0,,,,False,False,False
2013-05-12,0,28,,0,,,,,16367,,,,,0,0,,,,False,False,False
2013-05-13,0,28,,0,,,,,16391,,,,,0,0,,,,False,False,False
2013-05-14,0,27,,0,,,,,16415,,,,,0,0,,,,False,False,False
2013-05-15,0,28,,0,,,,,16439,,,,,0,0,,,,False,False,False
2013-05-16,0,27,,0,,,,,16463,,,,,0,0,,,,False,False,False
2013-05-17,0,27,,0,,,,,16487,,,,,0,0,,,,False,False,False
2013-05-18,0,28,,0,,,,,16511,,,,,0,0,,,,False,False,False
2013-05-19,0,27,,0,,,,,16535,,,,,0,0,,,,False,False,False
2013-05-20,0,27,,0,,,,,16559,,,,,0,0,,,,False,False,False
2013-05-21,0,27,,0,,,,,16583,,,,,0,0,,,,False,False,False
2013-05-22,0,28,,0,,,,,16607,,,,,0,0,,,,False,False,False
2013-05-23,0,28,,0,,,,,16631,,,,,0,0,,,,False,False,False
2013-05-24,0,29,,2,,,,,16655,,,,,0,0,,,,False,False,False
2013-05-25,0,28,,0,,,,,16679,,,,,0,0,,,,False,False,False
2013-05-26,0,27,,0,,,,,16703,,,,,0,0,,,,False,False,False
2013-05-27,0,28,,0,,,,,16727,,,,,0,0,,,,False,False,False
2013-05-28,0,27,,0,,,,,16751,,,,,0,0,,,,False,False,False
2013-05-29,0,27,,0,,,,,16775,,,,,0,0,,,,False,False,False
2013-05-30,0,27,,0,,,,,16799,,,,,0,0,,,,False,False,False
2013-05-31,0,27,,0,,,,,16823,,,,,0,0,,,,False,False,False
2013-06-01,0,26,,0,,,,,16847,,,,,0,0,,,,False,False,False
2013-06-02,0,27,,0,,,,,16871,,,,,0,0,,,,False,False,False
2013-06-03,0,23,,0,,,,,16895,,,,,0,0,,,,False,False,False
2013-06-04,0,23,,0,,,,,16919,,,,,0,0,,,,False,False,False
2013-06-05,0,24,,0,,,,,16943,,,,,0,0,,,,False,False,False
2013-06-06,0,23,,0,,,,,16967,,,,,0,0,,,,False,False,False
2013-06-07,0,24,,0,,,,,16991,,,,,0,0,,,,False,False,False
