date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,30,,0,,,,,20888,,,,,0,0,,,
2013-04-11,0,30,,0,,,,,20912,,,,,0,0,,,
2013-04-12,0,29,,0,,,,,20936,,,,,0,0,,,
2013-04-13,0,29,,0,,,,,20960,,,,,0,0,,,
2013-04-14,0,29,,0,,,,,20984,,,,,0,0,,,
2013-04-15,0,29,,0,,,,,21008,,,,,0,0,,,
2013-04-16,0,29,,0,,,,,21032,,,,,0,0,,,
2013-04-17,0,30,,0,,,,,21056,,,,,0,0,,,
2013-04-18,0,29,,0,,,,,21080,,,,,0,0,,,
2013-04-19,0,29,,0,,,,,21104,,,,,0,0,,,
2013-04-20,0,29,,0,,,,,21128,,,,,0,0,,,
2013-04-21,0,29,,0,,,,,21152,,,,,0,0,,,
2013-04-22,0,29,,0,,,,,21176,,,,,0,0,,,
2013-04-23,0,29,,0,,,,,21200,,,,,0,0,,,
2013-04-24,0,29,,0,,,,,21224,,,,,0,0,,,
2013-04-25,0,29,,0,,,,,21248,,,,,0,0,,,
2013-04-26,0,28,,0,,,,,21272,,,,,0,0,,,
2013-04-27,0,29,,0,,,,,21296,,,,,0,0,,,
2013-04-28,0,28,,0,,,,,21320,,,,,0,0,,,
2013-04-29,0,28,,0,,,,,21344,,,,,0,0,,,
2013-04-30,0,28,,0,,,,,21368,,,,,0,0,,,
2013-05-01,0,29,,0,,,,,21392,,,,,0,0,,,
2013-05-02,0,29,,0,,,,,21416,,,,,0,0,,,
2013-05-03,0,29,,0,,,,,21440,,,,,0,0,,,
2013-05-04,0,29,,0,,,,,21464,,,,,0,0,,,
2013-05-05,0,29,,0,,,,,21488,,,,,0,0,,,
2013-05-06,0,29,,0,,,,,21512,,,,,0,0,,,
2013-05-07,0,29,,0,,,,,21536,,,,,0,0,,,
2013-05-08,0,29,,0,,,,,21560,,,,,0,0,,,
2013-05-09,0,30,,0,,,,,21584,,,,,0,0,,,
2013-05-10,0,29,,0,,,,,21608,,,,,0,0,,,
2013-05-11,0,29,,0,,,,,21632,,,,,0,0,,,
2013-05-12,0,29,,0,,,,,21656,,,,,0,0,,,
2013-05-13,0,29,,0,,,,,21680,,,,,0,0,,,
2013-05-14,0,29,,0,,,,,21704,,,,,0,0,,,
2013-05-15,0,29,,0,,,,,21728,,,,,0,0,,,
2013-05-16,0,29,,0,,,,,21752,,,,,0,0,,,
2013-05-17,0,29,,0,,,,,21776,,,,,0,0,,,
2013-05-18,0,29,,0,,,,,21800,,,,,0,0,,,
2013-05-19,0,29,,0,,,,,21824,,,,,0,0,,,
2013-05-20,0,29,,0,,,,,21848,,,,,0,0,,,
2013-05-21,0,29,,0,,,,,21872,,,,,0,0,,,
2013-05-22,0,29,,0,,,,,21896,,,,,0,0,,,
2013-05-23,0,29,,0,,,,,21920,,,,,0,0,,,
2013-05-24,0,29,,0,,,,,21944,,,,,0,0,,,
2013-05-25,0,30,,1,,,,,21968,,,,,0,0,,,
2013-05-26,0,29,,0,,,,,21992,,,,,0,0,,,
2013-05-27,0,30,,0,,,,,22016,,,,,0,0,,,
2013-05-28,0,29,,0,,,,,22040,,,,,0,0,,,
2013-05-29,0,29,,0,,,,,22064,,,,,0,0,,,
2013-05-30,0,29,,0,,,,,22088,,,,,0,0,,,
2013-05-31,0,29,,0,,,,,22112,,,,,0,0,,,
2013-06-01,0,29,,0,,,,,22136,,,,,0,0,,,
2013-06-02,0,29,,0,,,,,22160,,,,,0,0,,,
2013-06-03,0,29,,0,,,,,22184,,,,,0,0,,,
2013-06-04,0,29,,0,,,,,22208,,,,,0,0,,,
2013-06-05,0,29,,0,,,,,22232,,,,,0,0,,,
2013-06-06,0,29,,0,,,,,22256,,,,,0,0,,,
2013-06-07,0,29,,0,,,,,22280,,,,,0,0,,,
2013-06-08,0,29,,0,,,,,22304,,,,,0,0,,,
2013-06-09,0,29,,0,,,,,22328,,,,,0,0,,,
2013-06-10,0,29,,0,,,,,22352,,,,,0,0,,,
2013-06-11,0,29,,0,,,,,22376,,,,,0,0,,,
2013-06-12,0,28,,0,,,,,22400,,,,,0,0,,,
2013-06-13,0,29,,0,,,,,22424,,,,,0,0,,,
2013-06-14,0,29,,0,,,,,22448,,,,,0,0,,,
2013-06-15,0,29,,0,,,,,22472,,,,,0,0,,,
2013-06-16,0,29,,0,,,,,22496,,,,,0,0,,,
2013-06-17,0,29,,0,,,,,22520,,,,,0,0,,,
2013-06-18,0,29,,0,,,,,22544,,,,,0,0,,,
2013-06-19,0,29,,0,,,,,22568,,,,,0,0,,,
2013-06-20,0,28,,1,,,,,22592,,,,,0,0,,,
2013-06-21,0,29,,0,,,,,22616,,,,,0,0,,,
2013-06-22,0,29,,0,,,,,22640,,,,,0,0,,,
2013-06-23,0,29,,0,,,,,22664,,,,,0,0,,,
2013-06-24,0,29,,0,,,,,22688,,,,,0,0,,,
2013-06-25,0,29,,0,,,,,22712,,,,,0,0,,,
2013-06-26,0,31,,0,,,,,22736,,,,,0,0,,,
2013-06-27,0,29,,0,,,,,22760,,,,,0,0,,,
2013-06-28,0,29,,0,,,,,22784,,,,,0,0,,,
2013-06-29,0,29,,0,,,,,22808,,,,,0,0,,,
2013-06-30,0,28,,0,,,,,22832,,,,,0,0,,,
2013-07-01,0,29,,0,,,,,22856,,,,,0,0,,,
2013-07-02,0,29,,0,,,,,22880,,,,,0,0,,,
2013-07-03,0,28,,0,,,,,22904,,,,,0,0,,,
2013-07-04,0,29,,0,,,,,22928,,,,,0,0,,,
2013-07-05,0,28,,0,,,,,22952,,,,,0,0,,,
2013-07-06,0,28,,0,,,,,22976,,,,,0,0,,,
2013-07-07,0,28,,0,,,,,23000,,,,,0,0,,,
2013-07-08,0,29,,0,,,,,23024,,,,,0,0,,,
2013-07-09,0,29,,0,,,,,23048,,,,,0,0,,,
2013-07-10,0,29,,0,,,,,23072,,,,,0,0,,,
2013-07-11,0,31,,0,,,,,23096,,,,,0,0,,,
2013-07-12,0,30,,0,,,,,23120,,,,,0,0,,,
2013-07-13,0,31,,0,,,,,23144,,,,,0,0,,,
2013-07-14,0,31,,0,,,,,23168,,,,,0,0,,,
2013-07-15,0,30,,0,,,,,23192,,,,,0,0,,,
2013-07-16,0,31,,0,,,,,23216,,,,,0,0,,,
2013-07-17,0,30,,0,,,,,23240,,,,,0,0,,,
2013-07-18,0,30,,0,,,,,23264,,,,,0,0,,,
2013-07-19,0,30,,0,,,,,23288,,,,,0,0,,,
2013-07-20,0,30,,0,,,,,23312,,,,,0,0,,,
2013-07-21,0,30,,0,,,,,23336,,,,,0,0,,,
2013-07-22,0,30,,0,,,,,23360,,,,,0,0,,,
2013-07-23,0,30,,0,,,,,23384,,,,,0,0,,,
2013-07-24,0,22,,0,,,,,23403,,,,,0,0,,,
