date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,29,,0,,,,,21345,,,,,0,0,,,,False,False,False
2013-04-11,0,29,,0,,,,,21369,,,,,0,0,,,,False,False,False
2013-04-12,0,29,,0,,,,,21393,,,,,0,0,,,,False,False,False
2013-04-13,0,29,,1,,,,,21417,,,,,0,0,,,,False,False,False
2013-04-14,0,28,,1,,,,,21441,,,,,0,0,,,,False,False,False
2013-04-15,0,28,,65536,,,,,21465,,,,,0,0,,,,False,False,False
2013-04-16,0,28,,65536,,,,,21489,,,,,0,0,,,,False,False,False
2013-04-17,0,28,,0,,,,,21513,,,,,0,0,,,,False,False,False
2013-04-18,0,28,,0,,,,,21537,,,,,0,0,,,,False,False,False
2013-04-19,0,28,,0,,,,,21561,,,,,0,0,,,,False,False,False
2013-04-20,0,28,,0,,,,,21585,,,,,0,0,,,,False,False,False
2013-04-21,0,27,,0,,,,,21609,,,,,0,0,,,,False,False,False
2013-04-22,0,28,,0,,,,,21633,,,,,0,0,,,,False,False,False
2013-04-23,0,28,,0,,,,,21657,,,,,0,0,,,,False,False,False
2013-04-24,0,28,,0,,,,,21681,,,,,0,0,,,,False,False,False
2013-04-25,0,27,,0,,,,,21705,,,,,0,0,,,,False,False,False
2013-04-26,0,27,,0,,,,,21729,,,,,0,0,,,,False,False,False
2013-04-27,0,27,,0,,,,,21753,,,,,0,0,,,,False,False,False
2013-04-28,0,27,,0,,,,,21777,,,,,0,0,,,,False,False,False
2013-04-29,0,27,,0,,,,,21801,,,,,0,0,,,,False,False,False
2013-04-30,0,27,,65536,,,,,21825,,,,,0,0,,,,False,False,False
2013-05-01,0,27,,0,,,,,21849,,,,,0,0,,,,False,False,False
2013-05-02,0,27,,0,,,,,21873,,,,,0,0,,,,False,False,False
2013-05-03,0,27,,0,,,,,21897,,,,,0,0,,,,False,False,False
2013-05-04,0,27,,0,,,,,21921,,,,,0,0,,,,False,False,False
2013-05-05,0,27,,0,,,,,21945,,,,,0,0,,,,False,False,False
2013-05-06,0,27,,0,,,,,21969,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,21993,,,,,0,0,,,,False,False,False
2013-05-08,0,27,,0,,,,,22017,,,,,0,0,,,,False,False,False
2013-05-09,0,27,,0,,,,,22041,,,,,0,0,,,,False,False,False
2013-05-10,0,27,,0,,,,,22065,,,,,0,0,,,,False,False,False
2013-05-11,0,27,,0,,,,,22089,,,,,0,0,,,,False,False,False
2013-05-12,0,27,,65536,,,,,22113,,,,,0,0,,,,False,False,False
2013-05-13,0,27,,0,,,,,22137,,,,,0,0,,,,False,False,False
2013-05-14,0,27,,2,,,,,22161,,,,,0,0,,,,False,False,False
2013-05-15,0,27,,2,,,,,22185,,,,,0,0,,,,False,False,False
2013-05-16,0,27,,0,,,,,22209,,,,,0,0,,,,False,False,False
2013-05-17,0,27,,0,,,,,22233,,,,,0,0,,,,False,False,False
2013-05-18,0,27,,0,,,,,22257,,,,,0,0,,,,False,False,False
2013-05-19,0,27,,65536,,,,,22281,,,,,0,0,,,,False,False,False
2013-05-20,0,27,,65536,,,,,22305,,,,,0,0,,,,False,False,False
2013-05-21,0,27,,0,,,,,22329,,,,,0,0,,,,False,False,False
2013-05-22,0,27,,0,,,,,22353,,,,,0,0,,,,False,False,False
2013-05-23,0,27,,0,,,,,22377,,,,,0,0,,,,False,False,False
2013-05-24,0,27,,0,,,,,22401,,,,,0,0,,,,False,False,False
2013-05-25,0,27,,131072,,,,,22425,,,,,0,0,,,,False,False,False
2013-05-26,0,27,,0,,,,,22449,,,,,0,0,,,,False,False,False
2013-05-27,0,27,,0,,,,,22473,,,,,0,0,,,,False,False,False
2013-05-28,0,27,,0,,,,,22497,,,,,0,0,,,,False,False,False
2013-05-29,0,27,,0,,,,,22521,,,,,0,0,,,,False,False,False
2013-05-30,0,27,,0,,,,,22545,,,,,0,0,,,,False,False,False
2013-05-31,0,27,,1,,,,,22569,,,,,0,0,,,,False,False,False
2013-06-01,0,27,,0,,,,,22593,,,,,0,0,,,,False,False,False
2013-06-02,0,27,,0,,,,,22617,,,,,0,0,,,,False,False,False
2013-06-03,0,27,,0,,,,,22641,,,,,0,0,,,,False,False,False
2013-06-04,0,27,,0,,,,,22665,,,,,0,0,,,,False,False,False
2013-06-05,0,27,,1,,,,,22689,,,,,0,0,,,,False,False,False
2013-06-06,0,26,,0,,,,,22713,,,,,0,0,,,,False,False,False
2013-06-07,0,27,,0,,,,,22737,,,,,0,0,,,,False,False,False
2013-06-08,0,28,,0,,,,,22761,,,,,0,0,,,,False,False,False
2013-06-09,0,27,,0,,,,,22785,,,,,0,0,,,,False,False,False
2013-06-10,0,27,,1,,,,,22809,,,,,0,0,,,,False,False,False
2013-06-11,0,27,,0,,,,,22833,,,,,0,0,,,,False,False,False
2013-06-12,0,27,,0,,,,,22857,,,,,0,0,,,,False,False,False
2013-06-13,0,27,,0,,,,,22881,,,,,0,0,,,,False,False,False
2013-06-14,0,27,,0,,,,,22905,,,,,0,0,,,,False,False,False
2013-06-15,0,27,,65536,,,,,22929,,,,,0,0,,,,False,False,False
2013-06-16,0,27,,0,,,,,22953,,,,,0,0,,,,False,False,False
2013-06-17,0,27,,0,,,,,22977,,,,,0,0,,,,False,False,False
2013-06-18,0,27,,0,,,,,23001,,,,,0,0,,,,False,False,False
2013-06-19,0,27,,0,,,,,23025,,,,,0,0,,,,False,False,False
2013-06-20,0,27,,65536,,,,,23049,,,,,0,0,,,,False,False,False
2013-06-21,0,27,,0,,,,,23073,,,,,0,0,,,,False,False,False
2013-06-22,0,27,,0,,,,,23097,,,,,0,0,,,,False,False,False
2013-06-23,0,27,,0,,,,,23121,,,,,0,0,,,,False,False,False
2013-06-24,0,27,,65536,,,,,23145,,,,,0,0,,,,False,False,False
2013-06-25,0,27,,0,,,,,23169,,,,,0,0,,,,False,False,False
2013-06-26,0,27,,0,,,,,23193,,,,,0,0,,,,False,False,False
2013-06-27,0,27,,0,,,,,23217,,,,,0,0,,,,False,False,False
2013-06-28,0,27,,0,,,,,23241,,,,,0,0,,,,False,False,False
2013-06-29,0,27,,0,,,,,23265,,,,,0,0,,,,False,False,False
2013-06-30,0,27,,0,,,,,23289,,,,,0,0,,,,False,False,False
2013-07-01,0,27,,0,,,,,23313,,,,,0,0,,,,False,False,False
2013-07-02,0,27,,0,,,,,23337,,,,,0,0,,,,False,False,False
2013-07-03,0,27,,0,,,,,23361,,,,,0,0,,,,False,False,False
