date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,23,,0,,,,,21863,,,,,0,0,,,
2013-04-11,0,23,,0,,,,,21887,,,,,0,0,,,
2013-04-12,0,22,,0,,,,,21911,,,,,0,0,,,
2013-04-13,0,22,,0,,,,,21935,,,,,0,0,,,
2013-04-14,0,22,,0,,,,,21959,,,,,0,0,,,
2013-04-15,0,23,,0,,,,,21983,,,,,0,0,,,
2013-04-16,0,22,,0,,,,,22007,,,,,0,0,,,
2013-04-17,0,23,,0,,,,,22031,,,,,0,0,,,
2013-04-18,0,22,,0,,,,,22055,,,,,0,0,,,
2013-04-19,0,28,,0,,,,,22073,,,,,0,0,,,
2013-04-20,0,28,,0,,,,,22097,,,,,0,0,,,
2013-04-21,0,29,,0,,,,,22121,,,,,0,0,,,
2013-04-22,0,29,,0,,,,,22145,,,,,0,0,,,
2013-04-23,0,29,,0,,,,,22169,,,,,0,0,,,
2013-04-24,0,27,,0,,,,,22193,,,,,0,0,,,
2013-04-25,0,27,,0,,,,,22217,,,,,0,0,,,
2013-04-26,0,27,,0,,,,,22241,,,,,0,0,,,
2013-04-27,0,27,,0,,,,,22265,,,,,0,0,,,
2013-04-28,0,27,,0,,,,,22289,,,,,0,0,,,
