date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,23,,0,,,,,13927,,,,,0,0,,,
2013-04-11,0,23,,0,,,,,13951,,,,,0,0,,,
2013-04-12,0,22,,0,,,,,13975,,,,,0,0,,,
2013-04-13,0,22,,0,,,,,13999,,,,,0,0,,,
2013-04-14,0,23,,0,,,,,14023,,,,,0,0,,,
2013-04-15,0,23,,0,,,,,14047,,,,,0,0,,,
2013-04-16,0,23,,0,,,,,14071,,,,,0,0,,,
2013-04-17,0,23,,0,,,,,14095,,,,,0,0,,,
2013-04-18,0,23,,0,,,,,14119,,,,,0,0,,,
2013-04-19,0,22,,0,,,,,14143,,,,,0,0,,,
2013-04-20,0,22,,0,,,,,14167,,,,,0,0,,,
2013-04-21,0,23,,0,,,,,14191,,,,,0,0,,,
2013-04-22,0,22,,0,,,,,14215,,,,,0,0,,,
2013-04-23,0,23,,0,,,,,14239,,,,,0,0,,,
2013-04-24,0,22,,0,,,,,14263,,,,,0,0,,,
2013-04-25,0,22,,1,,,,,14287,,,,,0,0,,,
2013-04-26,0,22,,0,,,,,14311,,,,,0,0,,,
2013-04-27,0,22,,0,,,,,14335,,,,,0,0,,,
2013-04-28,0,22,,0,,,,,14359,,,,,0,0,,,
