date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,31,,0,,,,,19706,,,,,0,0,,,,False,False,False
2013-04-11,0,31,,0,,,,,19730,,,,,0,0,,,,False,False,False
2013-04-12,0,32,,0,,,,,19754,,,,,0,0,,,,False,False,False
2013-04-13,0,32,,0,,,,,19778,,,,,0,0,,,,False,False,False
2013-04-14,0,32,,1,,,,,19802,,,,,0,0,,,,False,False,False
2013-04-15,0,31,,0,,,,,19826,,,,,0,0,,,,False,False,False
2013-04-16,0,31,,65536,,,,,19850,,,,,0,0,,,,False,False,False
2013-04-17,0,32,,0,,,,,19874,,,,,0,0,,,,False,False,False
2013-04-18,0,31,,0,,,,,19898,,,,,0,0,,,,False,False,False
2013-04-19,0,31,,65536,,,,,19922,,,,,0,0,,,,False,False,False
2013-04-20,0,31,,65536,,,,,19946,,,,,0,0,,,,False,False,False
2013-04-21,0,31,,65537,,,,,19970,,,,,0,0,,,,False,False,False
2013-04-22,0,31,,65536,,,,,19994,,,,,0,0,,,,False,False,False
2013-04-23,0,31,,65536,,,,,20018,,,,,0,0,,,,False,False,False
2013-04-24,0,30,,131072,,,,,20042,,,,,0,0,,,,False,False,False
2013-04-25,0,30,,1,,,,,20066,,,,,0,0,,,,False,False,False
2013-04-26,0,29,,0,,,,,20090,,,,,0,0,,,,False,False,False
2013-04-27,0,29,,0,,,,,20114,,,,,0,0,,,,False,False,False
2013-04-28,0,29,,0,,,,,20138,,,,,0,0,,,,False,False,False
2013-04-29,0,29,,0,,,,,20162,,,,,0,0,,,,False,False,False
2013-04-30,0,29,,0,,,,,20186,,,,,0,0,,,,False,False,False
2013-05-01,0,29,,0,,,,,20210,,,,,0,0,,,,False,False,False
2013-05-02,0,28,,65536,,,,,20234,,,,,0,0,,,,False,False,False
2013-05-03,0,29,,0,,,,,20258,,,,,0,0,,,,False,False,False
2013-05-04,0,29,,1,,,,,20282,,,,,0,0,,,,False,False,False
2013-05-05,0,29,,1,,,,,20306,,,,,0,0,,,,False,False,False
2013-05-06,0,29,,1,,,,,20330,,,,,0,0,,,,False,False,False
2013-05-07,0,29,,0,,,,,20354,,,,,0,0,,,,False,False,False
2013-05-08,0,29,,2,,,,,20378,,,,,0,0,,,,False,False,False
2013-05-09,0,29,,0,,,,,20402,,,,,0,0,,,,False,False,False
2013-05-10,0,29,,0,,,,,20426,,,,,0,0,,,,False,False,False
2013-05-11,0,29,,0,,,,,20450,,,,,0,0,,,,False,False,False
2013-05-12,0,29,,0,,,,,20474,,,,,0,0,,,,False,False,False
2013-05-13,0,29,,0,,,,,20498,,,,,0,0,,,,False,False,False
2013-05-14,0,28,,0,,,,,20522,,,,,0,0,,,,False,False,False
2013-05-15,0,28,,65537,,,,,20546,,,,,0,0,,,,False,False,False
2013-05-16,0,28,,0,,,,,20570,,,,,0,0,,,,False,False,False
2013-05-17,0,28,,0,,,,,20594,,,,,0,0,,,,False,False,False
2013-05-18,0,28,,0,,,,,20618,,,,,0,0,,,,False,False,False
2013-05-19,0,29,,0,,,,,20642,,,,,0,0,,,,False,False,False
2013-05-20,0,29,,0,,,,,20666,,,,,0,0,,,,False,False,False
2013-05-21,0,29,,0,,,,,20690,,,,,0,0,,,,False,False,False
2013-05-22,0,29,,0,,,,,20714,,,,,0,0,,,,False,False,False
2013-05-23,0,29,,1,,,,,20738,,,,,0,0,,,,False,False,False
2013-05-24,0,29,,0,,,,,20762,,,,,0,0,,,,False,False,False
2013-05-25,0,29,,0,,,,,20786,,,,,0,0,,,,False,False,False
2013-05-26,0,29,,4,,,,,20810,,,,,0,0,,,,False,False,False
2013-05-27,0,29,,0,,,,,20834,,,,,0,0,,,,False,False,False
2013-05-28,0,30,,0,,,,,20858,,,,,0,0,,,,False,False,False
2013-05-29,0,30,,196608,,,,,20882,,,,,0,0,,,,False,False,False
2013-05-30,0,28,,1,,,,,20906,,,,,0,0,,,,False,False,False
2013-05-31,0,29,,131072,,,,,20930,,,,,0,0,,,,False,False,False
2013-06-01,0,29,,0,,,,,20954,,,,,0,0,,,,False,False,False
2013-06-02,0,29,,0,,,,,20978,,,,,0,0,,,,False,False,False
2013-06-03,0,29,,0,,,,,21002,,,,,0,0,,,,False,False,False
2013-06-04,0,29,,0,,,,,21026,,,,,0,0,,,,False,False,False
2013-06-05,0,29,,0,,,,,21050,,,,,0,0,,,,False,False,False
2013-06-06,0,29,,0,,,,,21074,,,,,0,0,,,,False,False,False
2013-06-07,0,29,,0,,,,,21098,,,,,0,0,,,,False,False,False
2013-06-08,0,28,,1,,,,,21122,,,,,0,0,,,,False,False,False
2013-06-09,0,29,,0,,,,,21146,,,,,0,0,,,,False,False,False
2013-06-10,0,29,,0,,,,,21170,,,,,0,0,,,,False,False,False
2013-06-11,0,29,,0,,,,,21194,,,,,0,0,,,,False,False,False
2013-06-12,0,29,,0,,,,,21218,,,,,0,0,,,,False,False,False
2013-06-13,0,29,,0,,,,,21242,,,,,0,0,,,,False,False,False
2013-06-14,0,29,,0,,,,,21266,,,,,0,0,,,,False,False,False
2013-06-15,0,29,,0,,,,,21290,,,,,0,0,,,,False,False,False
2013-06-16,0,29,,1,,,,,21314,,,,,0,0,,,,False,False,False
2013-06-17,0,29,,0,,,,,21338,,,,,0,0,,,,False,False,False
2013-06-18,0,29,,0,,,,,21362,,,,,0,0,,,,False,False,False
2013-06-19,0,29,,0,,,,,21386,,,,,0,0,,,,False,False,False
2013-06-20,0,29,,0,,,,,21410,,,,,0,0,,,,False,False,False
2013-06-21,0,29,,0,,,,,21434,,,,,0,0,,,,False,False,False
2013-06-22,0,30,,0,,,,,21458,,,,,0,0,,,,False,False,False
2013-06-23,0,30,,0,,,,,21482,,,,,0,0,,,,False,False,False
2013-06-24,0,30,,0,,,,,21506,,,,,0,0,,,,False,False,False
2013-06-25,0,28,,0,,,,,21530,,,,,0,0,,,,False,False,False
2013-06-26,0,30,,2,,,,,21554,,,,,0,0,,,,False,False,False
2013-06-27,0,31,,0,,,,,21578,,,,,0,0,,,,False,False,False
2013-06-28,0,31,,1,,,,,21602,,,,,0,0,,,,False,False,False
2013-06-29,0,29,,0,,,,,21626,,,,,0,0,,,,False,False,False
2013-06-30,0,29,,0,,,,,21650,,,,,0,0,,,,False,False,False
2013-07-01,0,31,,0,,,,,21674,,,,,0,0,,,,False,False,False
2013-07-02,0,31,,0,,,,,21698,,,,,0,0,,,,False,False,False
2013-07-03,0,30,,1,,,,,21722,,,,,0,0,,,,False,False,False
2013-07-04,0,31,,0,,,,,21746,,,,,0,0,,,,False,False,False
2013-07-05,0,30,,0,,,,,21770,,,,,0,0,,,,False,False,False
2013-07-06,0,30,,131072,,,,,21794,,,,,0,0,,,,False,False,False
2013-07-07,0,30,,0,,,,,21818,,,,,0,0,,,,False,False,False
2013-07-08,0,30,,0,,,,,21842,,,,,0,0,,,,False,False,False
2013-07-09,0,30,,65538,,,,,21866,,,,,0,0,,,,False,False,False
2013-07-10,0,25,,0,,,,,21890,,,,,0,0,,,,False,False,False
2013-07-11,0,26,,0,,,,,21914,,,,,0,0,,,,False,False,False
2013-07-12,0,25,,0,,,,,21938,,,,,0,0,,,,False,False,False
2013-07-13,0,26,,0,,,,,21962,,,,,0,0,,,,False,False,False
2013-07-14,0,26,,0,,,,,21986,,,,,0,0,,,,False,False,False
2013-07-15,0,26,,0,,,,,22010,,,,,0,0,,,,False,False,False
2013-07-16,0,25,,0,,,,,22034,,,,,0,0,,,,False,False,False
2013-07-17,0,25,,0,,,,,22058,,,,,0,0,,,,False,False,False
2013-07-18,0,26,,0,,,,,22082,,,,,0,0,,,,False,False,False
2013-07-19,0,25,,0,,,,,22106,,,,,0,0,,,,False,False,False
2013-07-20,0,25,,65536,,,,,22130,,,,,0,0,,,,False,False,False
2013-07-21,0,25,,65537,,,,,22154,,,,,0,0,,,,False,False,False
2013-07-22,0,25,,0,,,,,22178,,,,,0,0,,,,False,False,False
2013-07-23,0,25,,0,,,,,22202,,,,,0,0,,,,False,False,False
2013-07-24,0,25,,65536,,,,,22226,,,,,0,0,,,,False,False,False
2013-07-25,0,25,,1,,,,,22250,,,,,0,0,,,,False,False,False
2013-07-26,0,25,,0,,,,,22274,,,,,0,0,,,,False,False,False
2013-07-27,0,25,,1,,,,,22298,,,,,0,0,,,,False,False,False
2013-07-28,0,25,,0,,,,,22322,,,,,0,0,,,,False,False,False
2013-07-29,0,25,,0,,,,,22346,,,,,0,0,,,,False,False,False
2013-07-30,0,25,,0,,,,,22370,,,,,0,0,,,,False,False,False
2013-07-31,0,25,,0,,,,,22394,,,,,0,0,,,,False,False,False
2013-08-01,0,25,,196608,,,,,22418,,,,,0,0,,,,False,False,False
2013-08-02,0,25,,0,,,,,22442,,,,,0,0,,,,False,False,False
2013-08-03,0,25,,0,,,,,22466,,,,,0,0,,,,False,False,False
2013-08-04,0,24,,0,,,,,22490,,,,,0,0,,,,False,False,False
2013-08-05,0,24,,1,,,,,22514,,,,,0,0,,,,False,False,False
2013-08-06,0,25,,65536,,,,,22538,,,,,0,0,,,,False,False,False
2013-08-07,0,25,,0,,,,,22562,,,,,0,0,,,,False,False,False
2013-08-08,0,25,,0,,,,,22586,,,,,0,0,,,,False,False,False
2013-08-09,0,25,,1,,,,,22610,,,,,0,0,,,,False,False,False
2013-08-10,0,25,,0,,,,,22634,,,,,0,0,,,,False,False,False
2013-08-11,0,25,,0,,,,,22658,,,,,0,0,,,,False,False,False
2013-08-12,0,25,,0,,,,,22682,,,,,0,0,,,,False,False,False
2013-08-13,0,25,,0,,,,,22706,,,,,0,0,,,,False,False,False
2013-08-14,0,25,,0,,,,,22730,,,,,0,0,,,,False,False,False
2013-08-15,0,25,,0,,,,,22754,,,,,0,0,,,,False,False,False
2013-08-16,0,24,,0,,,,,22778,,,,,0,0,,,,False,False,False
2013-08-17,0,25,,0,,,,,22802,,,,,0,0,,,,False,False,False
2013-08-18,0,25,,0,,,,,22826,,,,,0,0,,,,False,False,False
2013-08-19,0,25,,0,,,,,22850,,,,,0,0,,,,False,False,False
2013-10-15,0,28,,0,,,,,24211,,,,,0,0,,,,False,False,False
2013-10-16,0,28,,0,,,,,24235,,,,,0,0,,,,False,False,False
2013-10-17,0,28,,65536,,,,,24259,,,,,0,0,,,,False,False,False
2013-10-18,0,28,,0,,,,,24283,,,,,0,0,,,,False,False,False
2013-10-19,0,28,,0,,,,,24307,,,,,0,0,,,,False,False,False
2013-10-20,0,28,,65536,,,,,24331,,,,,0,0,,,,False,False,False
2013-10-21,0,28,,0,,,,,24355,,,,,0,0,,,,False,False,False
2013-10-22,0,28,,0,,,,,24379,,,,,0,0,,,,False,False,False
2013-10-23,0,28,,0,,,,,24403,,,,,0,0,,,,False,False,False
2013-10-24,0,28,,0,,,,,24427,,,,,0,0,,,,False,False,False
2013-10-25,0,28,,1,,,,,24451,,,,,0,0,,,,False,False,False
2013-10-26,0,28,,1,,,,,24475,,,,,0,0,,,,False,False,False
2013-10-27,0,28,,0,,,,,24499,,,,,0,0,,,,False,False,False
2013-10-28,0,28,,0,,,,,24523,,,,,0,0,,,,False,False,False
2013-10-29,0,28,,0,,,,,24547,,,,,0,0,,,,False,False,False
2013-10-30,0,29,,0,,,,,24571,,,,,0,0,,,,False,False,False
2013-10-31,0,29,,0,,,,,24595,,,,,0,0,,,,False,False,False
2013-11-01,0,29,,65536,,,,,24619,,,,,0,0,,,,False,False,False
2013-11-02,0,34,,0,,,,,24643,,,,,0,0,,,,False,False,False
2013-11-03,0,30,,0,,,,,24667,,,,,0,0,,,,False,False,False
2013-11-04,0,37,,65536,,,,,24692,,,,,0,0,,,,False,False,False
2013-11-05,0,34,,0,,,,,24716,,,,,0,0,,,,False,False,False
2013-11-06,0,35,,0,,,,,24740,,,,,0,0,,,,False,False,False
2013-11-07,0,28,,0,,,,,24764,,,,,0,0,,,,False,False,False
2013-11-08,0,27,,0,,,,,24788,,,,,0,0,,,,False,False,False
