date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,31,,65537,,,,,23335,,,,,0,0,,,,False,False,False
2013-04-11,0,31,,0,,,,,23358,,,,,0,0,,,,False,False,False
2013-04-12,0,31,,0,,,,,23382,,,,,0,0,,,,False,False,False
2013-04-13,0,31,,0,,,,,23406,,,,,0,0,,,,False,False,False
2013-04-14,0,31,,0,,,,,23430,,,,,0,0,,,,False,False,False
2013-04-15,0,31,,0,,,,,23454,,,,,0,0,,,,False,False,False
2013-04-16,0,31,,0,,,,,23479,,,,,0,0,,,,False,False,False
2013-04-17,0,31,,0,,,,,23503,,,,,0,0,,,,False,False,False
2013-04-18,0,30,,0,,,,,23526,,,,,0,0,,,,False,False,False
2013-04-19,0,31,,0,,,,,23550,,,,,0,0,,,,False,False,False
2013-04-20,0,31,,65536,,,,,23575,,,,,0,0,,,,False,False,False
2013-04-21,0,31,,1,,,,,23598,,,,,0,0,,,,False,False,False
2013-04-22,0,31,,1,,,,,23623,,,,,0,0,,,,False,False,False
2013-04-23,0,31,,0,,,,,23646,,,,,0,0,,,,False,False,False
2013-04-24,0,31,,0,,,,,23670,,,,,0,0,,,,False,False,False
2013-04-25,0,31,,0,,,,,23695,,,,,0,0,,,,False,False,False
2013-04-26,0,31,,1,,,,,23719,,,,,0,0,,,,False,False,False
2013-04-27,0,31,,0,,,,,23743,,,,,0,0,,,,False,False,False
2013-04-28,0,32,,65536,,,,,23766,,,,,0,0,,,,False,False,False
2013-04-29,0,31,,0,,,,,23791,,,,,0,0,,,,False,False,False
2013-04-30,0,31,,65536,,,,,23815,,,,,0,0,,,,False,False,False
2013-05-01,0,31,,0,,,,,23839,,,,,0,0,,,,False,False,False
2013-05-02,0,27,,0,,,,,23863,,,,,0,0,,,,False,False,False
2013-05-03,0,27,,0,,,,,23886,,,,,0,0,,,,False,False,False
2013-05-04,0,27,,1,,,,,23911,,,,,0,0,,,,False,False,False
2013-05-05,0,28,,0,,,,,23934,,,,,0,0,,,,False,False,False
2013-05-06,0,27,,65536,,,,,23958,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,23982,,,,,0,0,,,,False,False,False
2013-05-08,0,28,,0,,,,,24006,,,,,0,0,,,,False,False,False
2013-05-09,0,28,,1,,,,,24031,,,,,0,0,,,,False,False,False
2013-05-10,0,28,,0,,,,,24054,,,,,0,0,,,,False,False,False
2013-05-11,0,27,,0,,,,,24079,,,,,0,0,,,,False,False,False
2013-05-12,0,28,,0,,,,,24102,,,,,0,0,,,,False,False,False
2013-05-13,0,28,,0,,,,,24127,,,,,0,0,,,,False,False,False
2013-05-14,0,28,,0,,,,,24150,,,,,0,0,,,,False,False,False
2013-05-15,0,28,,0,,,,,24175,,,,,0,0,,,,False,False,False
2013-05-16,0,28,,0,,,,,24198,,,,,0,0,,,,False,False,False
2013-05-17,0,27,,0,,,,,24223,,,,,0,0,,,,False,False,False
2013-05-18,0,28,,0,,,,,24246,,,,,0,0,,,,False,False,False
2013-05-19,0,28,,65536,,,,,24270,,,,,0,0,,,,False,False,False
2013-05-20,0,28,,131073,,,,,24295,,,,,0,0,,,,False,False,False
2013-05-21,0,27,,0,,,,,24318,,,,,0,0,,,,False,False,False
2013-05-22,0,27,,0,,,,,24342,,,,,0,0,,,,False,False,False
2013-05-23,0,28,,0,,,,,24366,,,,,0,0,,,,False,False,False
2013-05-24,0,27,,262144,,,,,24391,,,,,0,0,,,,False,False,False
2013-05-25,0,28,,0,,,,,24414,,,,,0,0,,,,False,False,False
2013-05-26,0,27,,1,,,,,24438,,,,,0,0,,,,False,False,False
2013-05-27,0,28,,65536,,,,,24463,,,,,0,0,,,,False,False,False
2013-05-28,0,28,,0,,,,,24486,,,,,0,0,,,,False,False,False
2013-05-29,0,28,,65537,,,,,24511,,,,,0,0,,,,False,False,False
2013-05-30,0,27,,1,,,,,24534,,,,,0,0,,,,False,False,False
2013-05-31,0,28,,0,,,,,24559,,,,,0,0,,,,False,False,False
2013-06-01,0,28,,1,,,,,24582,,,,,0,0,,,,False,False,False
2013-06-02,0,28,,0,,,,,24606,,,,,0,0,,,,False,False,False
2013-06-03,0,28,,1,,,,,24630,,,,,0,0,,,,False,False,False
2013-06-04,0,28,,0,,,,,24654,,,,,0,0,,,,False,False,False
2013-06-05,0,28,,0,,,,,24678,,,,,0,0,,,,False,False,False
2013-06-06,0,28,,131072,,,,,24703,,,,,0,0,,,,False,False,False
2013-06-07,0,28,,0,,,,,24726,,,,,0,0,,,,False,False,False
2013-06-08,0,27,,0,,,,,24750,,,,,0,0,,,,False,False,False
2013-06-09,0,27,,0,,,,,24774,,,,,0,0,,,,False,False,False
