date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,27,,0,,,,,17446,,,,,0,0,,,
2013-04-11,0,28,,0,,,,,17469,,,,,0,0,,,
2013-04-12,0,27,,0,,,,,17493,,,,,0,0,,,
2013-04-13,0,27,,0,,,,,17517,,,,,0,0,,,
2013-04-14,0,27,,0,,,,,17541,,,,,0,0,,,
2013-04-15,0,27,,0,,,,,17566,,,,,0,0,,,
2013-04-16,0,26,,0,,,,,17589,,,,,0,0,,,
2013-04-17,0,27,,0,,,,,17614,,,,,0,0,,,
2013-04-18,0,27,,0,,,,,17637,,,,,0,0,,,
2013-04-19,0,27,,0,,,,,17662,,,,,0,0,,,
2013-04-20,0,27,,0,,,,,17685,,,,,0,0,,,
2013-04-21,0,27,,0,,,,,17709,,,,,0,0,,,
2013-04-22,0,27,,0,,,,,17733,,,,,0,0,,,
2013-04-23,0,27,,0,,,,,17757,,,,,0,0,,,
2013-04-24,0,26,,0,,,,,17782,,,,,0,0,,,
2013-04-25,0,25,,0,,,,,17805,,,,,0,0,,,
2013-04-26,0,29,,0,,,,,17823,,,,,0,0,,,
2013-04-27,0,29,,0,,,,,17847,,,,,0,0,,,
2013-04-28,0,29,,0,,,,,17871,,,,,0,0,,,
2013-04-29,0,30,,65536,,,,,17895,,,,,0,0,,,
2013-04-30,0,28,,0,,,,,17919,,,,,0,0,,,
2013-05-01,0,28,,0,,,,,17943,,,,,0,0,,,
2013-05-02,0,29,,0,,,,,17967,,,,,0,0,,,
2013-05-03,0,29,,0,,,,,17991,,,,,0,0,,,
2013-05-04,0,32,,0,,,,,18015,,,,,0,0,,,
2013-05-05,0,31,,0,,,,,18039,,,,,0,0,,,
2013-05-06,0,31,,0,,,,,18063,,,,,0,0,,,
2013-05-07,0,32,,0,,,,,18087,,,,,0,0,,,
2013-05-08,0,27,,0,,,,,18111,,,,,0,0,,,
2013-05-09,0,27,,0,,,,,18135,,,,,0,0,,,
2013-05-10,0,27,,0,,,,,18159,,,,,0,0,,,
2013-05-11,0,28,,0,,,,,18183,,,,,0,0,,,
2013-05-12,0,27,,0,,,,,18207,,,,,0,0,,,
2013-05-13,0,27,,0,,,,,18231,,,,,0,0,,,
2013-05-14,0,27,,0,,,,,18255,,,,,0,0,,,
2013-05-15,0,27,,0,,,,,18279,,,,,0,0,,,
2013-05-16,0,27,,0,,,,,18302,,,,,0,0,,,
2013-05-17,0,29,,0,,,,,18326,,,,,0,0,,,
2013-05-18,0,28,,0,,,,,18350,,,,,0,0,,,
2013-05-19,0,29,,0,,,,,18374,,,,,0,0,,,
2013-05-20,0,28,,0,,,,,18398,,,,,0,0,,,
2013-05-21,0,29,,0,,,,,18422,,,,,0,0,,,
2013-05-22,0,29,,0,,,,,18447,,,,,0,0,,,
2013-05-23,0,29,,0,,,,,18470,,,,,0,0,,,
2013-05-24,0,29,,0,,,,,18494,,,,,0,0,,,
2013-05-25,0,29,,0,,,,,18518,,,,,0,0,,,
2013-05-26,0,29,,0,,,,,18542,,,,,0,0,,,
2013-05-27,0,29,,0,,,,,18566,,,,,0,0,,,
2013-05-28,0,29,,0,,,,,18590,,,,,0,0,,,
2013-05-29,0,29,,0,,,,,18614,,,,,0,0,,,
2013-05-30,0,29,,0,,,,,18638,,,,,0,0,,,
2013-05-31,0,30,,0,,,,,18662,,,,,0,0,,,
2013-06-01,0,30,,0,,,,,18686,,,,,0,0,,,
2013-06-02,0,30,,0,,,,,18710,,,,,0,0,,,
2013-06-03,0,30,,0,,,,,18734,,,,,0,0,,,
2013-06-04,0,28,,0,,,,,18758,,,,,0,0,,,
2013-06-05,0,32,,0,,,,,18782,,,,,0,0,,,
2013-06-06,0,32,,0,,,,,18806,,,,,0,0,,,
2013-06-07,0,32,,0,,,,,18830,,,,,0,0,,,
2013-06-08,0,31,,0,,,,,18854,,,,,0,0,,,
2013-06-09,0,32,,0,,,,,18878,,,,,0,0,,,
2013-06-10,0,32,,0,,,,,18902,,,,,0,0,,,
2013-06-11,0,32,,0,,,,,18926,,,,,0,0,,,
2013-06-12,0,32,,0,,,,,18950,,,,,0,0,,,
2013-06-13,0,30,,0,,,,,18974,,,,,0,0,,,
2013-06-14,0,30,,0,,,,,18999,,,,,0,0,,,
2013-06-15,0,30,,0,,,,,19022,,,,,0,0,,,
2013-06-16,0,29,,0,,,,,19046,,,,,0,0,,,
2013-06-17,0,32,,0,,,,,19070,,,,,0,0,,,
2013-06-18,0,31,,0,,,,,19094,,,,,0,0,,,
2013-06-19,0,32,,0,,,,,19118,,,,,0,0,,,
2013-06-20,0,31,,0,,,,,19142,,,,,0,0,,,
2013-06-21,0,33,,0,,,,,19166,,,,,0,0,,,
2013-06-22,0,33,,0,,,,,19190,,,,,0,0,,,
2013-06-23,0,31,,0,,,,,19214,,,,,0,0,,,
2013-06-24,0,28,,0,,,,,19238,,,,,0,0,,,
2013-06-25,0,29,,0,,,,,19262,,,,,0,0,,,
2013-06-26,0,29,,0,,,,,19286,,,,,0,0,,,
2013-06-27,0,30,,65536,,,,,19310,,,,,0,0,,,
2013-06-28,0,30,,0,,,,,19334,,,,,0,0,,,
2013-06-29,0,29,,0,,,,,19358,,,,,0,0,,,
2013-06-30,0,30,,0,,,,,19382,,,,,0,0,,,
2013-07-01,0,30,,0,,,,,19406,,,,,0,0,,,
2013-07-02,0,30,,0,,,,,19430,,,,,0,0,,,
2013-07-03,0,30,,0,,,,,19454,,,,,0,0,,,
2013-07-04,0,30,,0,,,,,19478,,,,,0,0,,,
2013-07-05,0,30,,0,,,,,19502,,,,,0,0,,,
2013-07-06,0,31,,0,,,,,19526,,,,,0,0,,,
2013-07-07,0,30,,0,,,,,19550,,,,,0,0,,,
2013-07-08,0,30,,0,,,,,19574,,,,,0,0,,,
2013-07-09,0,31,,0,,,,,19598,,,,,0,0,,,
2013-07-10,0,30,,0,,,,,19622,,,,,0,0,,,
2013-07-11,0,31,,0,,,,,19646,,,,,0,0,,,
2013-07-12,0,30,,0,,,,,19670,,,,,0,0,,,
2013-07-13,0,31,,0,,,,,19694,,,,,0,0,,,
2013-07-14,0,31,,0,,,,,19718,,,,,0,0,,,
2013-07-15,0,30,,0,,,,,19742,,,,,0,0,,,
2013-07-16,0,30,,0,,,,,19766,,,,,0,0,,,
2013-07-17,0,30,,0,,,,,19790,,,,,0,0,,,
2013-07-18,0,32,,0,,,,,19814,,,,,0,0,,,
2013-07-19,0,27,,0,,,,,19838,,,,,0,0,,,
2013-07-20,0,27,,0,,,,,19862,,,,,0,0,,,
2013-07-21,0,27,,0,,,,,19886,,,,,0,0,,,
2013-07-22,0,27,,0,,,,,19910,,,,,0,0,,,
2013-07-23,0,27,,0,,,,,19934,,,,,0,0,,,
2013-07-24,0,29,,0,,,,,19958,,,,,0,0,,,
2013-07-25,0,28,,0,,,,,19982,,,,,0,0,,,
2013-07-26,0,30,,0,,,,,20006,,,,,0,0,,,
2013-07-27,0,29,,0,,,,,20030,,,,,0,0,,,
2013-07-28,0,29,,0,,,,,20054,,,,,0,0,,,
2013-07-29,0,29,,0,,,,,20078,,,,,0,0,,,
2013-07-30,0,30,,0,,,,,20102,,,,,0,0,,,
2013-07-31,0,29,,0,,,,,20126,,,,,0,0,,,
2013-08-01,0,28,,0,,,,,20150,,,,,0,0,,,
2013-08-02,0,28,,0,,,,,20174,,,,,0,0,,,
