date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,29,,0,,,,,18668,,,,,0,0,,,
2013-04-11,0,29,,0,,,,,18692,,,,,0,0,,,
2013-04-12,0,28,,0,,,,,18716,,,,,0,0,,,
2013-04-13,0,28,,0,,,,,18740,,,,,0,0,,,
2013-04-14,0,28,,0,,,,,18764,,,,,0,0,,,
2013-04-15,0,28,,0,,,,,18788,,,,,0,0,,,
2013-04-16,0,28,,4,,,,,18812,,,,,0,0,,,
2013-04-17,0,28,,0,,,,,18836,,,,,0,0,,,
2013-04-18,0,28,,0,,,,,18860,,,,,0,0,,,
2013-04-19,0,28,,0,,,,,18884,,,,,0,0,,,
2013-04-20,0,28,,0,,,,,18908,,,,,0,0,,,
2013-04-21,0,28,,0,,,,,18932,,,,,0,0,,,
2013-04-22,0,28,,0,,,,,18956,,,,,0,0,,,
2013-04-23,0,28,,327680,,,,,18980,,,,,0,0,,,
2013-04-24,0,28,,0,,,,,19004,,,,,0,0,,,
2013-04-25,0,28,,0,,,,,19028,,,,,0,0,,,
2013-04-26,0,28,,0,,,,,19052,,,,,0,0,,,
2013-04-27,0,27,,0,,,,,19076,,,,,0,0,,,
2013-04-28,0,27,,0,,,,,19100,,,,,0,0,,,
2013-04-29,0,27,,65538,,,,,19124,,,,,0,0,,,
2013-04-30,0,27,,0,,,,,19148,,,,,0,0,,,
2013-05-01,0,27,,0,,,,,19172,,,,,0,0,,,
2013-05-02,0,27,,0,,,,,19196,,,,,0,0,,,
2013-05-03,0,27,,0,,,,,19220,,,,,0,0,,,
2013-05-04,0,27,,0,,,,,19244,,,,,0,0,,,
2013-05-05,0,27,,0,,,,,19268,,,,,0,0,,,
2013-05-06,0,27,,0,,,,,19292,,,,,0,0,,,
2013-05-07,0,27,,0,,,,,19316,,,,,0,0,,,
2013-05-08,0,27,,0,,,,,19340,,,,,0,0,,,
2013-05-09,0,27,,0,,,,,19364,,,,,0,0,,,
2013-05-10,0,27,,0,,,,,19388,,,,,0,0,,,
2013-05-11,0,26,,0,,,,,19412,,,,,0,0,,,
2013-05-12,0,27,,0,,,,,19436,,,,,0,0,,,
2013-05-13,0,27,,0,,,,,19460,,,,,0,0,,,
2013-05-14,0,27,,0,,,,,19484,,,,,0,0,,,
2013-05-15,0,27,,0,,,,,19508,,,,,0,0,,,
2013-05-16,0,27,,1,,,,,19532,,,,,0,0,,,
2013-05-17,0,27,,0,,,,,19556,,,,,0,0,,,
2013-05-18,0,27,,0,,,,,19580,,,,,0,0,,,
2013-05-19,0,26,,0,,,,,19604,,,,,0,0,,,
2013-05-20,0,27,,0,,,,,19628,,,,,0,0,,,
2013-05-21,0,27,,0,,,,,19652,,,,,0,0,,,
2013-05-22,0,27,,0,,,,,19676,,,,,0,0,,,
2013-05-23,0,27,,0,,,,,19700,,,,,0,0,,,
2013-05-24,0,27,,0,,,,,19724,,,,,0,0,,,
2013-05-25,0,27,,0,,,,,19748,,,,,0,0,,,
2013-05-26,0,27,,0,,,,,19772,,,,,0,0,,,
2013-05-27,0,27,,0,,,,,19796,,,,,0,0,,,
2013-05-28,0,27,,0,,,,,19820,,,,,0,0,,,
2013-05-29,0,27,,0,,,,,19844,,,,,0,0,,,
2013-05-30,0,27,,0,,,,,19868,,,,,0,0,,,
2013-05-31,0,27,,0,,,,,19892,,,,,0,0,,,
2013-06-01,0,27,,0,,,,,19916,,,,,0,0,,,
2013-06-02,0,27,,0,,,,,19940,,,,,0,0,,,
2013-06-03,0,27,,0,,,,,19964,,,,,0,0,,,
2013-06-04,0,27,,0,,,,,19988,,,,,0,0,,,
2013-06-05,0,27,,0,,,,,20012,,,,,0,0,,,
2013-06-06,0,27,,0,,,,,20036,,,,,0,0,,,
2013-06-07,0,27,,0,,,,,20060,,,,,0,0,,,
2013-06-08,0,27,,0,,,,,20084,,,,,0,0,,,
2013-06-09,0,26,,0,,,,,20108,,,,,0,0,,,
2013-06-10,0,27,,0,,,,,20132,,,,,0,0,,,
2013-06-11,0,27,,0,,,,,20156,,,,,0,0,,,
2013-06-12,0,26,,0,,,,,20180,,,,,0,0,,,
2013-06-13,0,27,,0,,,,,20204,,,,,0,0,,,
2013-06-14,0,26,,0,,,,,20228,,,,,0,0,,,
2013-06-15,0,27,,0,,,,,20252,,,,,0,0,,,
2013-06-16,0,27,,1,,,,,20276,,,,,0,0,,,
2013-06-17,0,27,,0,,,,,20300,,,,,0,0,,,
2013-06-18,0,26,,0,,,,,20324,,,,,0,0,,,
2013-06-19,0,27,,0,,,,,20348,,,,,0,0,,,
2013-06-20,0,27,,0,,,,,20372,,,,,0,0,,,
2013-06-21,0,27,,65536,,,,,20396,,,,,0,0,,,
2013-06-22,0,27,,0,,,,,20420,,,,,0,0,,,
2013-06-23,0,27,,0,,,,,20444,,,,,0,0,,,
2013-06-24,0,27,,0,,,,,20468,,,,,0,0,,,
2013-06-25,0,27,,0,,,,,20492,,,,,0,0,,,
2013-06-26,0,27,,65536,,,,,20516,,,,,0,0,,,
2013-06-27,0,28,,0,,,,,20540,,,,,0,0,,,
2013-06-28,0,27,,65536,,,,,20564,,,,,0,0,,,
2013-06-29,0,27,,0,,,,,20588,,,,,0,0,,,
2013-06-30,0,27,,0,,,,,20612,,,,,0,0,,,
2013-07-01,0,27,,0,,,,,20636,,,,,0,0,,,
2013-07-02,0,27,,0,,,,,20660,,,,,0,0,,,
2013-07-03,0,27,,0,,,,,20684,,,,,0,0,,,
2013-07-04,0,27,,0,,,,,20708,,,,,0,0,,,
2013-07-05,0,27,,0,,,,,20732,,,,,0,0,,,
2013-07-06,0,27,,0,,,,,20756,,,,,0,0,,,
2013-07-07,0,27,,0,,,,,20780,,,,,0,0,,,
2013-07-08,0,27,,0,,,,,20804,,,,,0,0,,,
2013-07-09,0,27,,0,,,,,20828,,,,,0,0,,,
2013-07-10,0,28,,0,,,,,20852,,,,,0,0,,,
2013-07-11,0,28,,0,,,,,20876,,,,,0,0,,,
2013-07-12,0,27,,0,,,,,20900,,,,,0,0,,,
2013-07-13,0,27,,0,,,,,20924,,,,,0,0,,,
2013-07-14,0,27,,0,,,,,20948,,,,,0,0,,,
2013-07-15,0,27,,0,,,,,20972,,,,,0,0,,,
2013-07-16,0,26,,0,,,,,20996,,,,,0,0,,,
2013-07-17,0,27,,0,,,,,21020,,,,,0,0,,,
2013-07-18,0,26,,65536,,,,,21044,,,,,0,0,,,
2013-07-19,0,27,,0,,,,,21068,,,,,0,0,,,
2013-07-20,0,27,,0,,,,,21092,,,,,0,0,,,
2013-07-21,0,27,,0,,,,,21116,,,,,0,0,,,
2013-07-22,0,27,,0,,,,,21140,,,,,0,0,,,
2013-07-23,0,26,,0,,,,,21164,,,,,0,0,,,
2013-07-24,0,29,,0,,,,,21183,,,,,0,0,,,
2013-07-25,0,29,,0,,,,,21207,,,,,0,0,,,
2013-07-26,0,29,,0,,,,,21231,,,,,0,0,,,
2013-07-27,0,29,,0,,,,,21255,,,,,0,0,,,
2013-07-28,0,29,,0,,,,,21279,,,,,0,0,,,
2013-07-29,0,29,,0,,,,,21303,,,,,0,0,,,
2013-07-30,0,29,,0,,,,,21327,,,,,0,0,,,
2013-07-31,0,29,,0,,,,,21351,,,,,0,0,,,
2013-08-01,0,29,,0,,,,,21375,,,,,0,0,,,
2013-08-02,0,29,,0,,,,,21399,,,,,0,0,,,
2013-08-03,0,29,,0,,,,,21423,,,,,0,0,,,
2013-08-04,0,29,,0,,,,,21447,,,,,0,0,,,
2013-08-05,0,29,,131072,,,,,21471,,,,,0,0,,,
2013-08-06,0,30,,0,,,,,21495,,,,,0,0,,,
2013-08-07,0,29,,0,,,,,21519,,,,,0,0,,,
2013-08-08,0,29,,0,,,,,21543,,,,,0,0,,,
2013-08-09,0,30,,0,,,,,21567,,,,,0,0,,,
2013-08-10,0,30,,0,,,,,21591,,,,,0,0,,,
2013-08-11,0,30,,0,,,,,21615,,,,,0,0,,,
2013-08-12,0,30,,0,,,,,21639,,,,,0,0,,,
2013-08-13,0,30,,196608,,,,,21663,,,,,0,0,,,
2013-08-14,0,29,,0,,,,,21687,,,,,0,0,,,
2013-08-15,0,29,,0,,,,,21711,,,,,0,0,,,
2013-08-16,0,29,,0,,,,,21735,,,,,0,0,,,
2013-08-17,0,29,,0,,,,,21759,,,,,0,0,,,
2013-08-18,0,29,,0,,,,,21783,,,,,0,0,,,
2013-08-19,0,27,,0,,,,,21807,,,,,0,0,,,
2013-10-15,0,27,,0,,,,,23175,,,,,0,0,,,
2013-10-16,0,27,,65536,,,,,23199,,,,,0,0,,,
2013-10-17,0,27,,0,,,,,23223,,,,,0,0,,,
2013-10-18,0,27,,0,,,,,23247,,,,,0,0,,,
2013-10-19,0,27,,0,,,,,23271,,,,,0,0,,,
2013-10-20,0,27,,0,,,,,23295,,,,,0,0,,,
2013-10-21,0,27,,0,,,,,23319,,,,,0,0,,,
2013-10-22,0,27,,0,,,,,23343,,,,,0,0,,,
2013-10-23,0,27,,0,,,,,23367,,,,,0,0,,,
2013-10-24,0,27,,0,,,,,23391,,,,,0,0,,,
2013-10-25,0,27,,0,,,,,23415,,,,,0,0,,,
2013-10-26,0,27,,0,,,,,23439,,,,,0,0,,,
2013-10-27,0,27,,0,,,,,23463,,,,,0,0,,,
2013-10-28,0,27,,0,,,,,23487,,,,,0,0,,,
2013-10-29,0,27,,0,,,,,23511,,,,,0,0,,,
2013-10-30,0,27,,0,,,,,23535,,,,,0,0,,,
2013-10-31,0,27,,0,,,,,23559,,,,,0,0,,,
2013-11-01,0,27,,0,,,,,23583,,,,,0,0,,,
2013-11-02,0,30,,262144,,,,,23607,,,,,0,0,,,
2013-11-03,0,27,,0,,,,,23631,,,,,0,0,,,
2013-11-04,0,33,,0,,,,,23656,,,,,0,0,,,
2013-11-05,0,31,,0,,,,,23680,,,,,0,0,,,
2013-11-06,0,29,,0,,,,,23704,,,,,0,0,,,
2013-11-07,0,28,,0,,,,,23728,,,,,0,0,,,
2013-11-08,0,27,,0,,,,,23752,,,,,0,0,,,
2013-11-09,0,28,,0,,,,,23776,,,,,0,0,,,
2013-11-10,0,32,,0,,,,,23800,,,,,0,0,,,
2013-11-11,0,31,,0,,,,,23824,,,,,0,0,,,
2013-11-12,0,28,,0,,,,,23848,,,,,0,0,,,
2013-11-13,0,28,,0,,,,,23872,,,,,0,0,,,
2013-11-14,0,28,,0,,,,,23896,,,,,0,0,,,
2013-11-15,0,28,,458752,,,,,23920,,,,,0,0,,,
2013-11-16,0,28,,0,,,,,23944,,,,,0,0,,,
2013-11-17,0,28,,0,,,,,23968,,,,,0,0,,,
2013-11-18,0,27,,0,,,,,23992,,,,,0,0,,,
2013-11-19,0,28,,0,,,,,24016,,,,,0,0,,,
2013-11-20,0,27,,0,,,,,24040,,,,,0,0,,,
2013-11-21,0,27,,0,,,,,24064,,,,,0,0,,,
2013-11-22,0,28,,0,,,,,24088,,,,,0,0,,,
2013-11-23,0,28,,1,,,,,24112,,,,,0,0,,,
