date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,36,,0,,,,,18237,,,,,0,0,,,,False,False,False
2013-04-11,0,36,,0,,,,,18261,,,,,0,0,,,,False,False,False
2013-04-12,0,36,,2,,,,,18285,,,,,0,0,,,,False,False,False
2013-04-13,0,37,,0,,,,,18309,,,,,0,0,,,,False,False,False
2013-04-14,0,37,,0,,,,,18333,,,,,0,0,,,,False,False,False
2013-04-15,0,36,,0,,,,,18357,,,,,0,0,,,,False,False,False
2013-04-16,0,36,,0,,,,,18381,,,,,0,0,,,,False,False,False
2013-04-17,0,36,,1,,,,,18405,,,,,0,0,,,,False,False,False
2013-04-18,0,36,,131072,,,,,18429,,,,,0,0,,,,False,False,False
2013-04-19,0,36,,0,,,,,18453,,,,,0,0,,,,False,False,False
2013-04-20,0,37,,0,,,,,18477,,,,,0,0,,,,False,False,False
2013-04-21,0,36,,0,,,,,18501,,,,,0,0,,,,False,False,False
2013-04-22,0,36,,65537,,,,,18525,,,,,0,0,,,,False,False,False
2013-04-23,0,36,,1,,,,,18549,,,,,0,0,,,,False,False,False
2013-04-24,0,35,,0,,,,,18573,,,,,0,0,,,,False,False,False
2013-04-25,0,34,,1,,,,,18597,,,,,0,0,,,,False,False,False
2013-04-26,0,31,,0,,,,,18615,,,,,0,0,,,,False,False,False
2013-04-27,0,30,,1,,,,,18639,,,,,0,0,,,,False,False,False
2013-04-28,0,31,,0,,,,,18663,,,,,0,0,,,,False,False,False
2013-04-29,0,31,,0,,,,,18687,,,,,0,0,,,,False,False,False
2013-04-30,0,30,,0,,,,,18711,,,,,0,0,,,,False,False,False
2013-05-01,0,29,,0,,,,,18735,,,,,0,0,,,,False,False,False
2013-05-02,0,30,,65536,,,,,18759,,,,,0,0,,,,False,False,False
2013-05-03,0,30,,0,,,,,18783,,,,,0,0,,,,False,False,False
2013-05-04,0,32,,65536,,,,,18807,,,,,0,0,,,,False,False,False
2013-05-05,0,33,,1,,,,,18831,,,,,0,0,,,,False,False,False
2013-05-06,0,33,,65537,,,,,18855,,,,,0,0,,,,False,False,False
