date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,24,,65537,,,,,18625,,,,,0,0,,,
2013-04-11,0,24,,0,,,,,18649,,,,,0,0,,,
2013-04-12,0,24,,0,,,,,18673,,,,,0,0,,,
2013-04-13,0,24,,0,,,,,18697,,,,,0,0,,,
2013-04-14,0,24,,0,,,,,18721,,,,,0,0,,,
2013-04-15,0,24,,0,,,,,18745,,,,,0,0,,,
2013-04-16,0,24,,0,,,,,18769,,,,,0,0,,,
2013-04-17,0,23,,0,,,,,18793,,,,,0,0,,,
2013-04-18,0,24,,65536,,,,,18817,,,,,0,0,,,
2013-04-19,0,24,,0,,,,,18841,,,,,0,0,,,
2013-04-20,0,24,,0,,,,,18865,,,,,0,0,,,
2013-04-21,0,23,,0,,,,,18889,,,,,0,0,,,
2013-04-22,0,23,,0,,,,,18913,,,,,0,0,,,
2013-04-23,0,23,,0,,,,,18937,,,,,0,0,,,
2013-04-24,0,24,,65536,,,,,18961,,,,,0,0,,,
2013-04-25,0,23,,0,,,,,18985,,,,,0,0,,,
2013-04-26,0,23,,0,,,,,19010,,,,,0,0,,,
2013-04-27,0,24,,0,,,,,19033,,,,,0,0,,,
2013-04-28,0,23,,0,,,,,19057,,,,,0,0,,,
2013-04-29,0,23,,0,,,,,19081,,,,,0,0,,,
2013-04-30,0,23,,0,,,,,19105,,,,,0,0,,,
2013-05-01,0,23,,0,,,,,19129,,,,,0,0,,,
2013-05-02,0,23,,0,,,,,19153,,,,,0,0,,,
2013-05-03,0,23,,0,,,,,19177,,,,,0,0,,,
2013-05-04,0,23,,0,,,,,19201,,,,,0,0,,,
2013-05-05,0,24,,0,,,,,19225,,,,,0,0,,,
2013-05-06,0,24,,0,,,,,19249,,,,,0,0,,,
2013-05-07,0,23,,0,,,,,19273,,,,,0,0,,,
2013-05-08,0,23,,0,,,,,19297,,,,,0,0,,,
2013-05-09,0,23,,0,,,,,19321,,,,,0,0,,,
2013-05-10,0,23,,0,,,,,19345,,,,,0,0,,,
2013-05-11,0,23,,0,,,,,19369,,,,,0,0,,,
2013-05-12,0,23,,0,,,,,19393,,,,,0,0,,,
2013-05-13,0,23,,0,,,,,19417,,,,,0,0,,,
2013-05-14,0,23,,0,,,,,19441,,,,,0,0,,,
2013-05-15,0,23,,0,,,,,19465,,,,,0,0,,,
2013-05-16,0,23,,0,,,,,19489,,,,,0,0,,,
2013-05-17,0,23,,0,,,,,19513,,,,,0,0,,,
2013-05-18,0,23,,0,,,,,19537,,,,,0,0,,,
2013-05-19,0,23,,0,,,,,19561,,,,,0,0,,,
2013-05-20,0,23,,0,,,,,19585,,,,,0,0,,,
2013-05-21,0,23,,65536,,,,,19609,,,,,0,0,,,
2013-05-22,0,23,,196610,,,,,19633,,,,,0,0,,,
2013-05-23,0,23,,0,,,,,19657,,,,,0,0,,,
2013-05-24,0,24,,0,,,,,19681,,,,,0,0,,,
2013-05-25,0,23,,0,,,,,19705,,,,,0,0,,,
2013-05-26,0,23,,0,,,,,19729,,,,,0,0,,,
2013-05-27,0,23,,0,,,,,19753,,,,,0,0,,,
2013-05-28,0,23,,0,,,,,19777,,,,,0,0,,,
2013-05-29,0,23,,0,,,,,19801,,,,,0,0,,,
2013-05-30,0,23,,0,,,,,19825,,,,,0,0,,,
2013-05-31,0,23,,1,,,,,19849,,,,,0,0,,,
2013-06-01,0,23,,0,,,,,19873,,,,,0,0,,,
2013-06-02,0,23,,0,,,,,19897,,,,,0,0,,,
2013-06-03,0,23,,0,,,,,19921,,,,,0,0,,,
2013-06-04,0,23,,0,,,,,19945,,,,,0,0,,,
2013-06-05,0,23,,0,,,,,19969,,,,,0,0,,,
2013-06-06,0,23,,0,,,,,19993,,,,,0,0,,,
2013-06-07,0,23,,0,,,,,20017,,,,,0,0,,,
2013-06-08,0,23,,0,,,,,20041,,,,,0,0,,,
2013-06-09,0,24,,0,,,,,20065,,,,,0,0,,,
2013-06-10,0,23,,0,,,,,20089,,,,,0,0,,,
2013-06-11,0,24,,0,,,,,20113,,,,,0,0,,,
2013-06-12,0,24,,0,,,,,20137,,,,,0,0,,,
2013-06-13,0,23,,0,,,,,20161,,,,,0,0,,,
2013-06-14,0,23,,0,,,,,20185,,,,,0,0,,,
2013-06-15,0,23,,0,,,,,20209,,,,,0,0,,,
2013-06-16,0,23,,0,,,,,20233,,,,,0,0,,,
2013-06-17,0,23,,0,,,,,20257,,,,,0,0,,,
2013-06-18,0,23,,0,,,,,20281,,,,,0,0,,,
2013-06-19,0,23,,0,,,,,20305,,,,,0,0,,,
2013-06-20,0,23,,0,,,,,20329,,,,,0,0,,,
2013-06-21,0,23,,0,,,,,20353,,,,,0,0,,,
2013-06-22,0,23,,0,,,,,20377,,,,,0,0,,,
2013-06-23,0,23,,65536,,,,,20401,,,,,0,0,,,
2013-06-24,0,23,,3,,,,,20425,,,,,0,0,,,
2013-06-25,0,23,,0,,,,,20449,,,,,0,0,,,
2013-06-26,0,23,,0,,,,,20473,,,,,0,0,,,
2013-06-27,0,23,,0,,,,,20497,,,,,0,0,,,
2013-06-28,0,23,,0,,,,,20521,,,,,0,0,,,
2013-06-29,0,24,,2,,,,,20545,,,,,0,0,,,
2013-06-30,0,24,,0,,,,,20569,,,,,0,0,,,
2013-07-01,0,24,,0,,,,,20593,,,,,0,0,,,
2013-07-02,0,24,,0,,,,,20617,,,,,0,0,,,
2013-07-03,0,24,,0,,,,,20641,,,,,0,0,,,
2013-07-04,0,23,,0,,,,,20665,,,,,0,0,,,
2013-07-05,0,23,,0,,,,,20689,,,,,0,0,,,
2013-07-06,0,23,,0,,,,,20713,,,,,0,0,,,
2013-07-07,0,23,,1,,,,,20737,,,,,0,0,,,
2013-07-08,0,23,,65536,,,,,20761,,,,,0,0,,,
2013-07-09,0,23,,0,,,,,20785,,,,,0,0,,,
2013-07-10,0,24,,0,,,,,20809,,,,,0,0,,,
2013-07-11,0,24,,6,,,,,20833,,,,,0,0,,,
2013-07-12,0,24,,0,,,,,20857,,,,,0,0,,,
2013-07-13,0,24,,0,,,,,20881,,,,,0,0,,,
2013-07-14,0,24,,0,,,,,20905,,,,,0,0,,,
2013-07-15,0,23,,0,,,,,20929,,,,,0,0,,,
2013-07-16,0,24,,0,,,,,20953,,,,,0,0,,,
2013-07-17,0,24,,0,,,,,20977,,,,,0,0,,,
2013-07-18,0,24,,0,,,,,21001,,,,,0,0,,,
2013-07-19,0,24,,0,,,,,21025,,,,,0,0,,,
2013-07-20,0,24,,0,,,,,21049,,,,,0,0,,,
2013-07-21,0,24,,0,,,,,21073,,,,,0,0,,,
2013-07-22,0,24,,0,,,,,21097,,,,,0,0,,,
2013-07-23,0,23,,0,,,,,21121,,,,,0,0,,,
2013-07-24,0,31,,0,,,,,21141,,,,,0,0,,,
2013-07-25,0,31,,0,,,,,21165,,,,,0,0,,,
2013-07-26,0,31,,0,,,,,21188,,,,,0,0,,,
