date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,27,,0,,,,,20136,,,,,0,0,,,
2013-04-11,0,27,,0,,,,,20159,,,,,0,0,,,
2013-04-12,0,27,,0,,,,,20183,,,,,0,0,,,
2013-04-13,0,27,,0,,,,,20208,,,,,0,0,,,
2013-04-14,0,27,,0,,,,,20232,,,,,0,0,,,
2013-04-15,0,27,,0,,,,,20255,,,,,0,0,,,
2013-04-16,0,27,,0,,,,,20280,,,,,0,0,,,
2013-04-17,0,27,,0,,,,,20303,,,,,0,0,,,
2013-04-18,0,27,,65536,,,,,20328,,,,,0,0,,,
2013-04-19,0,27,,0,,,,,20351,,,,,0,0,,,
2013-04-20,0,27,,0,,,,,20375,,,,,0,0,,,
2013-04-21,0,27,,0,,,,,20400,,,,,0,0,,,
2013-04-22,0,27,,0,,,,,20424,,,,,0,0,,,
2013-04-23,0,27,,0,,,,,20448,,,,,0,0,,,
2013-04-24,0,27,,0,,,,,20472,,,,,0,0,,,
2013-04-25,0,27,,0,,,,,20496,,,,,0,0,,,
2013-04-26,0,27,,0,,,,,20520,,,,,0,0,,,
2013-04-27,0,27,,65536,,,,,20544,,,,,0,0,,,
2013-04-28,0,27,,0,,,,,20568,,,,,0,0,,,
2013-04-29,0,26,,0,,,,,20592,,,,,0,0,,,
2013-04-30,0,27,,0,,,,,20616,,,,,0,0,,,
2013-05-01,0,27,,0,,,,,20640,,,,,0,0,,,
2013-05-02,0,26,,0,,,,,20664,,,,,0,0,,,
2013-05-03,0,25,,0,,,,,20688,,,,,0,0,,,
2013-05-04,0,25,,0,,,,,20712,,,,,0,0,,,
2013-05-05,0,26,,0,,,,,20736,,,,,0,0,,,
2013-05-06,0,26,,65536,,,,,20760,,,,,0,0,,,
2013-05-07,0,26,,1,,,,,20784,,,,,0,0,,,
2013-05-08,0,26,,0,,,,,20808,,,,,0,0,,,
2013-05-09,0,26,,0,,,,,20832,,,,,0,0,,,
2013-05-10,0,26,,0,,,,,20856,,,,,0,0,,,
2013-05-11,0,26,,0,,,,,20880,,,,,0,0,,,
2013-05-12,0,26,,1,,,,,20904,,,,,0,0,,,
2013-05-13,0,25,,0,,,,,20928,,,,,0,0,,,
2013-05-14,0,25,,1,,,,,20952,,,,,0,0,,,
2013-05-15,0,25,,0,,,,,20976,,,,,0,0,,,
2013-05-16,0,25,,0,,,,,20999,,,,,0,0,,,
2013-05-17,0,25,,0,,,,,21024,,,,,0,0,,,
2013-05-18,0,25,,65536,,,,,21048,,,,,0,0,,,
2013-05-19,0,26,,0,,,,,21072,,,,,0,0,,,
2013-05-20,0,26,,0,,,,,21096,,,,,0,0,,,
2013-05-21,0,25,,1,,,,,21120,,,,,0,0,,,
2013-05-22,0,24,,0,,,,,21144,,,,,0,0,,,
2013-05-23,0,25,,0,,,,,21168,,,,,0,0,,,
2013-05-24,0,26,,0,,,,,21192,,,,,0,0,,,
2013-05-25,0,26,,0,,,,,21216,,,,,0,0,,,
2013-05-26,0,26,,0,,,,,21240,,,,,0,0,,,
2013-05-27,0,26,,0,,,,,21264,,,,,0,0,,,
2013-05-28,0,26,,0,,,,,21288,,,,,0,0,,,
2013-05-29,0,26,,1,,,,,21312,,,,,0,0,,,
2013-05-30,0,25,,393217,,,,,21336,,,,,0,0,,,
2013-05-31,0,26,,0,,,,,21360,,,,,0,0,,,
2013-06-01,0,26,,0,,,,,21384,,,,,0,0,,,
2013-06-02,0,26,,0,,,,,21408,,,,,0,0,,,
2013-06-03,0,26,,1,,,,,21432,,,,,0,0,,,
2013-06-04,0,26,,0,,,,,21456,,,,,0,0,,,
2013-06-05,0,26,,65536,,,,,21480,,,,,0,0,,,
2013-06-06,0,26,,65536,,,,,21504,,,,,0,0,,,
2013-06-07,0,26,,0,,,,,21528,,,,,0,0,,,
2013-06-08,0,26,,0,,,,,21552,,,,,0,0,,,
2013-06-09,0,26,,0,,,,,21576,,,,,0,0,,,
2013-06-10,0,26,,0,,,,,21600,,,,,0,0,,,
2013-06-11,0,26,,0,,,,,21624,,,,,0,0,,,
2013-06-12,0,26,,0,,,,,21647,,,,,0,0,,,
2013-06-13,0,26,,0,,,,,21672,,,,,0,0,,,
2013-06-14,0,26,,0,,,,,21696,,,,,0,0,,,
2013-06-15,0,26,,0,,,,,21720,,,,,0,0,,,
2013-06-16,0,26,,0,,,,,21744,,,,,0,0,,,
2013-06-17,0,26,,0,,,,,21767,,,,,0,0,,,
2013-06-18,0,26,,0,,,,,21792,,,,,0,0,,,
2013-06-19,0,26,,0,,,,,21816,,,,,0,0,,,
2013-06-20,0,26,,0,,,,,21840,,,,,0,0,,,
2013-06-21,0,26,,0,,,,,21864,,,,,0,0,,,
2013-06-22,0,26,,0,,,,,21888,,,,,0,0,,,
2013-06-23,0,26,,0,,,,,21912,,,,,0,0,,,
2013-06-24,0,26,,0,,,,,21936,,,,,0,0,,,
2013-06-25,0,26,,0,,,,,21960,,,,,0,0,,,
2013-06-26,0,24,,0,,,,,21984,,,,,0,0,,,
2013-06-27,0,27,,1,,,,,22008,,,,,0,0,,,
2013-06-28,0,27,,1,,,,,22032,,,,,0,0,,,
