date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,26,,0,,,,,21294,,,,,0,0,,,,False,False,False
2013-04-11,0,26,,65536,,,,,21318,,,,,0,0,,,,False,False,False
2013-04-12,0,26,,1,,,,,21342,,,,,0,0,,,,False,False,False
2013-04-13,0,26,,0,,,,,21366,,,,,0,0,,,,False,False,False
2013-04-14,0,26,,65536,,,,,21390,,,,,0,0,,,,False,False,False
2013-04-15,0,26,,0,,,,,21414,,,,,0,0,,,,False,False,False
2013-04-16,0,26,,0,,,,,21438,,,,,0,0,,,,False,False,False
2013-04-17,0,26,,0,,,,,21462,,,,,0,0,,,,False,False,False
2013-04-18,0,26,,0,,,,,21486,,,,,0,0,,,,False,False,False
2013-04-19,0,27,,0,,,,,21510,,,,,0,0,,,,False,False,False
2013-04-20,0,26,,0,,,,,21534,,,,,0,0,,,,False,False,False
2013-04-21,0,26,,0,,,,,21558,,,,,0,0,,,,False,False,False
2013-04-22,0,26,,0,,,,,21582,,,,,0,0,,,,False,False,False
2013-04-23,0,26,,0,,,,,21606,,,,,0,0,,,,False,False,False
2013-04-24,0,26,,0,,,,,21630,,,,,0,0,,,,False,False,False
2013-04-25,0,26,,0,,,,,21654,,,,,0,0,,,,False,False,False
2013-04-26,0,25,,0,,,,,21678,,,,,0,0,,,,False,False,False
2013-04-27,0,26,,0,,,,,21702,,,,,0,0,,,,False,False,False
2013-04-28,0,25,,0,,,,,21726,,,,,0,0,,,,False,False,False
2013-04-29,0,25,,0,,,,,21750,,,,,0,0,,,,False,False,False
2013-04-30,0,25,,0,,,,,21774,,,,,0,0,,,,False,False,False
2013-05-01,0,25,,0,,,,,21798,,,,,0,0,,,,False,False,False
2013-05-02,0,25,,0,,,,,21822,,,,,0,0,,,,False,False,False
2013-05-03,0,25,,0,,,,,21846,,,,,0,0,,,,False,False,False
2013-05-04,0,25,,0,,,,,21870,,,,,0,0,,,,False,False,False
2013-05-05,0,25,,65536,,,,,21894,,,,,0,0,,,,False,False,False
2013-05-06,0,25,,0,,,,,21918,,,,,0,0,,,,False,False,False
2013-05-07,0,25,,0,,,,,21942,,,,,0,0,,,,False,False,False
2013-05-08,0,25,,0,,,,,21966,,,,,0,0,,,,False,False,False
2013-05-09,0,25,,0,,,,,21990,,,,,0,0,,,,False,False,False
2013-05-10,0,25,,0,,,,,22014,,,,,0,0,,,,False,False,False
2013-05-11,0,25,,0,,,,,22038,,,,,0,0,,,,False,False,False
2013-05-12,0,25,,0,,,,,22062,,,,,0,0,,,,False,False,False
2013-05-13,0,26,,0,,,,,22086,,,,,0,0,,,,False,False,False
2013-05-14,0,25,,0,,,,,22110,,,,,0,0,,,,False,False,False
2013-05-15,0,25,,0,,,,,22134,,,,,0,0,,,,False,False,False
2013-05-16,0,25,,0,,,,,22158,,,,,0,0,,,,False,False,False
2013-05-17,0,25,,0,,,,,22182,,,,,0,0,,,,False,False,False
2013-05-18,0,25,,0,,,,,22206,,,,,0,0,,,,False,False,False
2013-05-19,0,25,,0,,,,,22230,,,,,0,0,,,,False,False,False
2013-05-20,0,25,,0,,,,,22254,,,,,0,0,,,,False,False,False
2013-05-21,0,25,,0,,,,,22278,,,,,0,0,,,,False,False,False
2013-05-22,0,25,,0,,,,,22302,,,,,0,0,,,,False,False,False
2013-05-23,0,25,,0,,,,,22326,,,,,0,0,,,,False,False,False
2013-05-24,0,25,,0,,,,,22350,,,,,0,0,,,,False,False,False
2013-05-25,0,25,,0,,,,,22374,,,,,0,0,,,,False,False,False
2013-05-26,0,25,,0,,,,,22398,,,,,0,0,,,,False,False,False
