date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,26,,0,,,,,18591,,,,,0,0,,,
2013-04-11,0,26,,0,,,,,18615,,,,,0,0,,,
2013-04-12,0,26,,0,,,,,18639,,,,,0,0,,,
2013-04-13,0,26,,0,,,,,18663,,,,,0,0,,,
2013-04-14,0,26,,0,,,,,18687,,,,,0,0,,,
2013-04-15,0,26,,0,,,,,18711,,,,,0,0,,,
2013-04-16,0,26,,0,,,,,18735,,,,,0,0,,,
2013-04-17,0,26,,0,,,,,18759,,,,,0,0,,,
2013-04-18,0,26,,0,,,,,18783,,,,,0,0,,,
2013-04-19,0,26,,0,,,,,18807,,,,,0,0,,,
2013-04-20,0,26,,0,,,,,18831,,,,,0,0,,,
2013-04-21,0,26,,0,,,,,18855,,,,,0,0,,,
2013-04-22,0,26,,0,,,,,18879,,,,,0,0,,,
2013-04-23,0,26,,0,,,,,18903,,,,,0,0,,,
2013-04-24,0,26,,0,,,,,18927,,,,,0,0,,,
2013-04-25,0,26,,0,,,,,18951,,,,,0,0,,,
2013-04-26,0,25,,0,,,,,18975,,,,,0,0,,,
2013-04-27,0,25,,0,,,,,18999,,,,,0,0,,,
2013-04-28,0,25,,0,,,,,19023,,,,,0,0,,,
2013-04-29,0,25,,0,,,,,19047,,,,,0,0,,,
2013-04-30,0,25,,0,,,,,19071,,,,,0,0,,,
2013-05-01,0,25,,0,,,,,19095,,,,,0,0,,,
2013-05-02,0,25,,0,,,,,19119,,,,,0,0,,,
2013-05-03,0,25,,0,,,,,19143,,,,,0,0,,,
2013-05-04,0,25,,0,,,,,19167,,,,,0,0,,,
2013-05-05,0,25,,65536,,,,,19191,,,,,0,0,,,
2013-05-06,0,25,,0,,,,,19215,,,,,0,0,,,
2013-05-07,0,25,,0,,,,,19239,,,,,0,0,,,
2013-05-08,0,25,,0,,,,,19263,,,,,0,0,,,
2013-05-09,0,25,,0,,,,,19287,,,,,0,0,,,
2013-05-10,0,25,,0,,,,,19311,,,,,0,0,,,
2013-05-11,0,25,,0,,,,,19335,,,,,0,0,,,
2013-05-12,0,25,,0,,,,,19359,,,,,0,0,,,
2013-05-13,0,25,,0,,,,,19383,,,,,0,0,,,
2013-05-14,0,25,,0,,,,,19407,,,,,0,0,,,
2013-05-15,0,25,,0,,,,,19431,,,,,0,0,,,
2013-05-16,0,25,,0,,,,,19455,,,,,0,0,,,
2013-05-17,0,25,,0,,,,,19479,,,,,0,0,,,
2013-05-18,0,25,,65536,,,,,19503,,,,,0,0,,,
2013-05-19,0,25,,0,,,,,19527,,,,,0,0,,,
2013-05-20,0,25,,0,,,,,19551,,,,,0,0,,,
2013-05-21,0,25,,0,,,,,19575,,,,,0,0,,,
2013-05-22,0,25,,0,,,,,19599,,,,,0,0,,,
2013-05-23,0,25,,0,,,,,19623,,,,,0,0,,,
2013-05-24,0,25,,0,,,,,19647,,,,,0,0,,,
2013-05-25,0,25,,0,,,,,19671,,,,,0,0,,,
2013-05-26,0,25,,1,,,,,19695,,,,,0,0,,,
2013-05-27,0,25,,65536,,,,,19719,,,,,0,0,,,
2013-05-28,0,25,,0,,,,,19743,,,,,0,0,,,
2013-05-29,0,25,,0,,,,,19767,,,,,0,0,,,
2013-05-30,0,25,,0,,,,,19791,,,,,0,0,,,
2013-05-31,0,25,,0,,,,,19815,,,,,0,0,,,
2013-06-01,0,25,,0,,,,,19839,,,,,0,0,,,
2013-06-02,0,25,,0,,,,,19863,,,,,0,0,,,
2013-06-03,0,25,,0,,,,,19887,,,,,0,0,,,
2013-06-04,0,25,,0,,,,,19911,,,,,0,0,,,
2013-06-05,0,25,,0,,,,,19935,,,,,0,0,,,
2013-06-06,0,25,,0,,,,,19959,,,,,0,0,,,
2013-06-07,0,25,,0,,,,,19983,,,,,0,0,,,
2013-06-08,0,25,,0,,,,,20007,,,,,0,0,,,
2013-06-09,0,25,,0,,,,,20031,,,,,0,0,,,
2013-06-10,0,25,,0,,,,,20055,,,,,0,0,,,
2013-06-11,0,25,,0,,,,,20079,,,,,0,0,,,
2013-06-12,0,25,,0,,,,,20103,,,,,0,0,,,
2013-06-13,0,25,,0,,,,,20127,,,,,0,0,,,
2013-06-14,0,25,,1,,,,,20151,,,,,0,0,,,
2013-06-15,0,25,,0,,,,,20175,,,,,0,0,,,
2013-06-16,0,25,,0,,,,,20199,,,,,0,0,,,
2013-06-17,0,25,,0,,,,,20223,,,,,0,0,,,
2013-06-18,0,25,,0,,,,,20247,,,,,0,0,,,
2013-06-19,0,25,,0,,,,,20271,,,,,0,0,,,
2013-06-20,0,25,,65536,,,,,20295,,,,,0,0,,,
2013-06-21,0,25,,0,,,,,20319,,,,,0,0,,,
2013-06-22,0,25,,0,,,,,20343,,,,,0,0,,,
2013-06-23,0,25,,0,,,,,20367,,,,,0,0,,,
2013-06-24,0,25,,0,,,,,20391,,,,,0,0,,,
2013-06-25,0,25,,0,,,,,20415,,,,,0,0,,,
2013-06-26,0,25,,0,,,,,20439,,,,,0,0,,,
2013-06-27,0,25,,0,,,,,20463,,,,,0,0,,,
2013-06-28,0,26,,0,,,,,20487,,,,,0,0,,,
2013-06-29,0,25,,0,,,,,20511,,,,,0,0,,,
2013-06-30,0,26,,0,,,,,20535,,,,,0,0,,,
2013-07-01,0,26,,0,,,,,20559,,,,,0,0,,,
2013-07-02,0,25,,0,,,,,20583,,,,,0,0,,,
2013-07-03,0,25,,0,,,,,20607,,,,,0,0,,,
2013-07-04,0,25,,0,,,,,20631,,,,,0,0,,,
2013-07-05,0,25,,0,,,,,20655,,,,,0,0,,,
2013-07-06,0,25,,0,,,,,20679,,,,,0,0,,,
2013-07-07,0,25,,0,,,,,20703,,,,,0,0,,,
2013-07-08,0,26,,0,,,,,20727,,,,,0,0,,,
2013-07-09,0,26,,0,,,,,20751,,,,,0,0,,,
2013-07-10,0,25,,0,,,,,20775,,,,,0,0,,,
2013-07-11,0,25,,0,,,,,20799,,,,,0,0,,,
2013-07-12,0,25,,0,,,,,20823,,,,,0,0,,,
2013-07-13,0,25,,0,,,,,20847,,,,,0,0,,,
2013-07-14,0,25,,0,,,,,20871,,,,,0,0,,,
2013-07-15,0,25,,0,,,,,20895,,,,,0,0,,,
2013-07-16,0,25,,0,,,,,20919,,,,,0,0,,,
2013-07-17,0,25,,0,,,,,20943,,,,,0,0,,,
2013-07-18,0,25,,0,,,,,20967,,,,,0,0,,,
2013-07-19,0,26,,65536,,,,,20991,,,,,0,0,,,
2013-07-20,0,25,,0,,,,,21015,,,,,0,0,,,
2013-07-21,0,26,,0,,,,,21039,,,,,0,0,,,
2013-07-22,0,25,,0,,,,,21063,,,,,0,0,,,
2013-07-23,0,25,,0,,,,,21087,,,,,0,0,,,
2013-07-24,0,30,,0,,,,,21106,,,,,0,0,,,
2013-07-25,0,31,,0,,,,,21130,,,,,0,0,,,
2013-07-26,0,31,,0,,,,,21154,,,,,0,0,,,
2013-07-27,0,30,,0,,,,,21178,,,,,0,0,,,
2013-07-28,0,31,,0,,,,,21202,,,,,0,0,,,
2013-07-29,0,32,,0,,,,,21226,,,,,0,0,,,
2013-07-30,0,31,,0,,,,,21250,,,,,0,0,,,
2013-07-31,0,31,,0,,,,,21274,,,,,0,0,,,
2013-08-01,0,32,,0,,,,,21298,,,,,0,0,,,
2013-08-02,0,31,,0,,,,,21322,,,,,0,0,,,
2013-08-03,0,32,,0,,,,,21346,,,,,0,0,,,
2013-08-04,0,31,,0,,,,,21370,,,,,0,0,,,
2013-08-05,0,31,,0,,,,,21394,,,,,0,0,,,
2013-08-06,0,30,,0,,,,,21418,,,,,0,0,,,
2013-08-07,0,30,,0,,,,,21442,,,,,0,0,,,
2013-08-08,0,31,,0,,,,,21466,,,,,0,0,,,
2013-08-09,0,31,,0,,,,,21490,,,,,0,0,,,
2013-08-10,0,32,,0,,,,,21514,,,,,0,0,,,
2013-08-11,0,32,,0,,,,,21538,,,,,0,0,,,
2013-08-12,0,32,,0,,,,,21562,,,,,0,0,,,
2013-08-13,0,32,,0,,,,,21586,,,,,0,0,,,
2013-08-14,0,32,,0,,,,,21610,,,,,0,0,,,
2013-08-15,0,31,,0,,,,,21634,,,,,0,0,,,
2013-08-16,0,32,,1,,,,,21658,,,,,0,0,,,
2013-08-17,0,32,,0,,,,,21682,,,,,0,0,,,
2013-08-18,0,32,,0,,,,,21706,,,,,0,0,,,
2013-08-19,0,27,,0,,,,,21730,,,,,0,0,,,
2013-10-15,0,28,,0,,,,,23098,,,,,0,0,,,
2013-10-16,0,28,,0,,,,,23122,,,,,0,0,,,
2013-10-17,0,28,,0,,,,,23146,,,,,0,0,,,
2013-10-18,0,28,,0,,,,,23170,,,,,0,0,,,
2013-10-19,0,28,,0,,,,,23194,,,,,0,0,,,
2013-10-20,0,28,,0,,,,,23218,,,,,0,0,,,
2013-10-21,0,28,,0,,,,,23242,,,,,0,0,,,
2013-10-22,0,28,,0,,,,,23266,,,,,0,0,,,
2013-10-23,0,28,,1,,,,,23290,,,,,0,0,,,
2013-10-24,0,28,,0,,,,,23314,,,,,0,0,,,
2013-10-25,0,28,,0,,,,,23338,,,,,0,0,,,
2013-10-26,0,28,,0,,,,,23362,,,,,0,0,,,
2013-10-27,0,28,,0,,,,,23386,,,,,0,0,,,
2013-10-28,0,28,,0,,,,,23410,,,,,0,0,,,
2013-10-29,0,28,,0,,,,,23434,,,,,0,0,,,
2013-10-30,0,28,,0,,,,,23458,,,,,0,0,,,
2013-10-31,0,28,,0,,,,,23482,,,,,0,0,,,
2013-11-01,0,28,,0,,,,,23506,,,,,0,0,,,
2013-11-02,0,29,,65536,,,,,23530,,,,,0,0,,,
2013-11-03,0,28,,0,,,,,23554,,,,,0,0,,,
2013-11-04,0,28,,0,,,,,23579,,,,,0,0,,,
2013-11-05,0,28,,0,,,,,23603,,,,,0,0,,,
2013-11-06,0,27,,0,,,,,23627,,,,,0,0,,,
2013-11-07,0,28,,0,,,,,23651,,,,,0,0,,,
2013-11-08,0,28,,0,,,,,23675,,,,,0,0,,,
2013-11-09,0,27,,0,,,,,23699,,,,,0,0,,,
2013-11-10,0,28,,0,,,,,23723,,,,,0,0,,,
2013-11-11,0,27,,0,,,,,23747,,,,,0,0,,,
2013-11-12,0,28,,0,,,,,23771,,,,,0,0,,,
2013-11-13,0,28,,0,,,,,23795,,,,,0,0,,,
2013-11-14,0,28,,0,,,,,23819,,,,,0,0,,,
2013-11-15,0,29,,0,,,,,23843,,,,,0,0,,,
2013-11-16,0,29,,0,,,,,23867,,,,,0,0,,,
2013-11-17,0,28,,0,,,,,23891,,,,,0,0,,,
2013-11-18,0,28,,0,,,,,23915,,,,,0,0,,,
2013-11-19,0,29,,0,,,,,23939,,,,,0,0,,,
2013-11-20,0,28,,0,,,,,23963,,,,,0,0,,,
2013-11-21,0,28,,0,,,,,23987,,,,,0,0,,,
2013-11-22,0,28,,0,,,,,24011,,,,,0,0,,,
2013-11-23,0,29,,0,,,,,24035,,,,,0,0,,,
2013-11-24,0,28,,0,,,,,24059,,,,,0,0,,,
2013-11-25,0,29,,0,,,,,24083,,,,,0,0,,,
