date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,29,,0,,,,,16827,,,,,0,0,,,,False,False,False
2013-04-11,0,29,,0,,,,,16851,,,,,0,0,,,,False,False,False
2013-04-12,0,29,,0,,,,,16875,,,,,0,0,,,,False,False,False
2013-04-13,0,29,,0,,,,,16899,,,,,0,0,,,,False,False,False
2013-04-14,0,29,,0,,,,,16923,,,,,0,0,,,,False,False,False
2013-04-15,0,30,,0,,,,,16947,,,,,0,0,,,,False,False,False
2013-04-16,0,29,,0,,,,,16971,,,,,0,0,,,,False,False,False
2013-04-17,0,29,,0,,,,,16995,,,,,0,0,,,,False,False,False
2013-04-18,0,29,,65536,,,,,17019,,,,,0,0,,,,False,False,False
2013-04-19,0,29,,65536,,,,,17043,,,,,0,0,,,,False,False,False
2013-04-20,0,29,,0,,,,,17067,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,17091,,,,,0,0,,,,False,False,False
2013-04-22,0,29,,0,,,,,17115,,,,,0,0,,,,False,False,False
2013-04-23,0,29,,0,,,,,17139,,,,,0,0,,,,False,False,False
2013-04-24,0,29,,0,,,,,17163,,,,,0,0,,,,False,False,False
2013-04-25,0,28,,0,,,,,17187,,,,,0,0,,,,False,False,False
2013-04-26,0,26,,1,,,,,17204,,,,,0,0,,,,False,False,False
2013-04-27,0,26,,0,,,,,17228,,,,,0,0,,,,False,False,False
2013-04-28,0,26,,0,,,,,17252,,,,,0,0,,,,False,False,False
2013-04-29,0,27,,65536,,,,,17276,,,,,0,0,,,,False,False,False
2013-04-30,0,25,,0,,,,,17300,,,,,0,0,,,,False,False,False
2013-05-01,0,24,,0,,,,,17324,,,,,0,0,,,,False,False,False
2013-05-02,0,27,,0,,,,,17348,,,,,0,0,,,,False,False,False
2013-05-03,0,27,,0,,,,,17372,,,,,0,0,,,,False,False,False
2013-05-04,0,28,,0,,,,,17396,,,,,0,0,,,,False,False,False
2013-05-05,0,27,,0,,,,,17420,,,,,0,0,,,,False,False,False
2013-05-06,0,28,,0,,,,,17444,,,,,0,0,,,,False,False,False
2013-05-07,0,30,,0,,,,,17468,,,,,0,0,,,,False,False,False
2013-05-08,0,24,,65536,,,,,17492,,,,,0,0,,,,False,False,False
2013-05-09,0,25,,0,,,,,17516,,,,,0,0,,,,False,False,False
2013-05-10,0,24,,0,,,,,17540,,,,,0,0,,,,False,False,False
2013-05-11,0,24,,0,,,,,17564,,,,,0,0,,,,False,False,False
2013-05-12,0,24,,0,,,,,17588,,,,,0,0,,,,False,False,False
2013-05-13,0,24,,0,,,,,17612,,,,,0,0,,,,False,False,False
2013-05-14,0,23,,0,,,,,17636,,,,,0,0,,,,False,False,False
2013-05-15,0,25,,0,,,,,17660,,,,,0,0,,,,False,False,False
2013-05-16,0,25,,0,,,,,17684,,,,,0,0,,,,False,False,False
2013-05-17,0,27,,0,,,,,17708,,,,,0,0,,,,False,False,False
2013-05-18,0,24,,0,,,,,17732,,,,,0,0,,,,False,False,False
2013-05-19,0,24,,0,,,,,17756,,,,,0,0,,,,False,False,False
2013-05-20,0,24,,0,,,,,17780,,,,,0,0,,,,False,False,False
2013-05-21,0,23,,0,,,,,17804,,,,,0,0,,,,False,False,False
2013-05-22,0,23,,0,,,,,17828,,,,,0,0,,,,False,False,False
2013-05-23,0,23,,0,,,,,17852,,,,,0,0,,,,False,False,False
2013-05-24,0,24,,0,,,,,17876,,,,,0,0,,,,False,False,False
2013-05-25,0,25,,0,,,,,17900,,,,,0,0,,,,False,False,False
2013-05-26,0,25,,0,,,,,17924,,,,,0,0,,,,False,False,False
2013-05-27,0,24,,0,,,,,17948,,,,,0,0,,,,False,False,False
2013-05-28,0,24,,0,,,,,17972,,,,,0,0,,,,False,False,False
2013-05-29,0,25,,0,,,,,17996,,,,,0,0,,,,False,False,False
2013-05-30,0,31,,0,,,,,18020,,,,,0,0,,,,False,False,False
2013-05-31,0,26,,0,,,,,18044,,,,,0,0,,,,False,False,False
2013-06-01,0,26,,0,,,,,18068,,,,,0,0,,,,False,False,False
2013-06-02,0,26,,0,,,,,18092,,,,,0,0,,,,False,False,False
2013-06-03,0,25,,0,,,,,18116,,,,,0,0,,,,False,False,False
2013-06-04,0,23,,0,,,,,18140,,,,,0,0,,,,False,False,False
2013-06-05,0,29,,0,,,,,18164,,,,,0,0,,,,False,False,False
2013-06-06,0,27,,0,,,,,18188,,,,,0,0,,,,False,False,False
2013-06-07,0,27,,0,,,,,18212,,,,,0,0,,,,False,False,False
2013-06-08,0,29,,0,,,,,18236,,,,,0,0,,,,False,False,False
2013-06-09,0,30,,0,,,,,18260,,,,,0,0,,,,False,False,False
2013-06-10,0,30,,0,,,,,18284,,,,,0,0,,,,False,False,False
2013-06-11,0,30,,0,,,,,18308,,,,,0,0,,,,False,False,False
2013-06-12,0,27,,0,,,,,18332,,,,,0,0,,,,False,False,False
2013-06-13,0,27,,0,,,,,18356,,,,,0,0,,,,False,False,False
2013-06-14,0,28,,0,,,,,18380,,,,,0,0,,,,False,False,False
2013-06-15,0,27,,0,,,,,18404,,,,,0,0,,,,False,False,False
2013-06-16,0,27,,0,,,,,18428,,,,,0,0,,,,False,False,False
2013-06-17,0,29,,0,,,,,18452,,,,,0,0,,,,False,False,False
2013-06-18,0,30,,0,,,,,18476,,,,,0,0,,,,False,False,False
2013-06-19,0,30,,0,,,,,18500,,,,,0,0,,,,False,False,False
2013-06-20,0,29,,0,,,,,18524,,,,,0,0,,,,False,False,False
2013-06-21,0,28,,0,,,,,18548,,,,,0,0,,,,False,False,False
2013-06-22,0,29,,0,,,,,18572,,,,,0,0,,,,False,False,False
2013-06-23,0,27,,0,,,,,18596,,,,,0,0,,,,False,False,False
2013-06-24,0,25,,0,,,,,18620,,,,,0,0,,,,False,False,False
2013-06-25,0,26,,0,,,,,18644,,,,,0,0,,,,False,False,False
2013-06-26,0,24,,0,,,,,18668,,,,,0,0,,,,False,False,False
2013-06-27,0,25,,0,,,,,18692,,,,,0,0,,,,False,False,False
2013-06-28,0,25,,0,,,,,18716,,,,,0,0,,,,False,False,False
2013-06-29,0,25,,0,,,,,18740,,,,,0,0,,,,False,False,False
2013-06-30,0,25,,0,,,,,18764,,,,,0,0,,,,False,False,False
2013-07-01,0,25,,0,,,,,18788,,,,,0,0,,,,False,False,False
2013-07-02,0,25,,0,,,,,18812,,,,,0,0,,,,False,False,False
2013-07-03,0,25,,0,,,,,18836,,,,,0,0,,,,False,False,False
2013-07-04,0,25,,0,,,,,18860,,,,,0,0,,,,False,False,False
2013-07-05,0,26,,0,,,,,18884,,,,,0,0,,,,False,False,False
2013-07-06,0,26,,0,,,,,18908,,,,,0,0,,,,False,False,False
2013-07-07,0,26,,0,,,,,18932,,,,,0,0,,,,False,False,False
2013-07-08,0,26,,0,,,,,18956,,,,,0,0,,,,False,False,False
2013-07-09,0,26,,0,,,,,18980,,,,,0,0,,,,False,False,False
2013-07-10,0,25,,0,,,,,19004,,,,,0,0,,,,False,False,False
2013-07-11,0,26,,0,,,,,19028,,,,,0,0,,,,False,False,False
2013-07-12,0,26,,0,,,,,19052,,,,,0,0,,,,False,False,False
2013-07-13,0,26,,0,,,,,19076,,,,,0,0,,,,False,False,False
2013-07-14,0,25,,0,,,,,19100,,,,,0,0,,,,False,False,False
2013-07-15,0,26,,0,,,,,19124,,,,,0,0,,,,False,False,False
2013-07-16,0,26,,0,,,,,19148,,,,,0,0,,,,False,False,False
2013-07-17,0,25,,0,,,,,19172,,,,,0,0,,,,False,False,False
2013-07-18,0,31,,0,,,,,19196,,,,,0,0,,,,False,False,False
2013-07-19,0,24,,0,,,,,19220,,,,,0,0,,,,False,False,False
2013-07-20,0,24,,0,,,,,19244,,,,,0,0,,,,False,False,False
2013-07-21,0,24,,0,,,,,19268,,,,,0,0,,,,False,False,False
2013-07-22,0,24,,0,,,,,19292,,,,,0,0,,,,False,False,False
2013-07-23,0,24,,0,,,,,19316,,,,,0,0,,,,False,False,False
2013-07-24,0,25,,0,,,,,19340,,,,,0,0,,,,False,False,False
2013-07-25,0,25,,0,,,,,19364,,,,,0,0,,,,False,False,False
2013-07-26,0,24,,0,,,,,19388,,,,,0,0,,,,False,False,False
2013-07-27,0,27,,0,,,,,19412,,,,,0,0,,,,False,False,False
2013-07-28,0,25,,0,,,,,19436,,,,,0,0,,,,False,False,False
2013-07-29,0,25,,0,,,,,19460,,,,,0,0,,,,False,False,False
2013-07-30,0,25,,0,,,,,19484,,,,,0,0,,,,False,False,False
2013-07-31,0,24,,0,,,,,19508,,,,,0,0,,,,False,False,False
2013-08-01,0,24,,0,,,,,19532,,,,,0,0,,,,False,False,False
2013-08-02,0,24,,0,,,,,19556,,,,,0,0,,,,False,False,False
2013-08-03,0,24,,0,,,,,19580,,,,,0,0,,,,False,False,False
2013-08-04,0,24,,0,,,,,19604,,,,,0,0,,,,False,False,False
2013-08-05,0,24,,0,,,,,19628,,,,,0,0,,,,False,False,False
2013-08-06,0,24,,0,,,,,19652,,,,,0,0,,,,False,False,False
2013-08-07,0,24,,0,,,,,19676,,,,,0,0,,,,False,False,False
2013-08-08,0,25,,0,,,,,19700,,,,,0,0,,,,False,False,False
2013-08-09,0,26,,0,,,,,19724,,,,,0,0,,,,False,False,False
2013-08-10,0,25,,0,,,,,19748,,,,,0,0,,,,False,False,False
2013-08-11,0,24,,0,,,,,19772,,,,,0,0,,,,False,False,False
2013-08-12,0,26,,0,,,,,19796,,,,,0,0,,,,False,False,False
2013-08-13,0,26,,0,,,,,19820,,,,,0,0,,,,False,False,False
2013-08-14,0,24,,0,,,,,19844,,,,,0,0,,,,False,False,False
2013-08-15,0,25,,0,,,,,19868,,,,,0,0,,,,False,False,False
2013-08-16,0,24,,0,,,,,19892,,,,,0,0,,,,False,False,False
2013-08-17,0,24,,0,,,,,19916,,,,,0,0,,,,False,False,False
2013-08-18,0,24,,0,,,,,19940,,,,,0,0,,,,False,False,False
2013-08-19,0,24,,0,,,,,19964,,,,,0,0,,,,False,False,False
2013-10-15,0,25,,0,,,,,21329,,,,,0,0,,,,False,False,False
2013-10-16,0,26,,0,,,,,21353,,,,,0,0,,,,False,False,False
2013-10-17,0,26,,0,,,,,21377,,,,,0,0,,,,False,False,False
2013-10-18,0,27,,0,,,,,21401,,,,,0,0,,,,False,False,False
2013-10-19,0,26,,0,,,,,21425,,,,,0,0,,,,False,False,False
2013-10-20,0,26,,0,,,,,21449,,,,,0,0,,,,False,False,False
2013-10-21,0,26,,0,,,,,21473,,,,,0,0,,,,False,False,False
2013-10-22,0,26,,0,,,,,21497,,,,,0,0,,,,False,False,False
2013-10-23,0,26,,0,,,,,21521,,,,,0,0,,,,False,False,False
2013-10-24,0,26,,0,,,,,21545,,,,,0,0,,,,False,False,False
2013-10-25,0,26,,0,,,,,21569,,,,,0,0,,,,False,False,False
2013-10-26,0,26,,0,,,,,21593,,,,,0,0,,,,False,False,False
2013-10-27,0,26,,0,,,,,21617,,,,,0,0,,,,False,False,False
2013-10-28,0,26,,0,,,,,21641,,,,,0,0,,,,False,False,False
2013-10-29,0,27,,0,,,,,21665,,,,,0,0,,,,False,False,False
2013-10-30,0,26,,0,,,,,21689,,,,,0,0,,,,False,False,False
2013-10-31,0,26,,0,,,,,21713,,,,,0,0,,,,False,False,False
2013-11-01,0,27,,0,,,,,21737,,,,,0,0,,,,False,False,False
2013-11-02,0,27,,0,,,,,21761,,,,,0,0,,,,False,False,False
2013-11-03,0,27,,0,,,,,21785,,,,,0,0,,,,False,False,False
2013-11-04,0,26,,0,,,,,21810,,,,,0,0,,,,False,False,False
2013-11-05,0,27,,0,,,,,21834,,,,,0,0,,,,False,False,False
2013-11-06,0,26,,0,,,,,21858,,,,,0,0,,,,False,False,False
2013-11-07,0,24,,0,,,,,21882,,,,,0,0,,,,False,False,False
2013-11-08,0,26,,0,,,,,21906,,,,,0,0,,,,False,False,False
2013-11-09,0,27,,0,,,,,21930,,,,,0,0,,,,False,False,False
2013-11-10,0,27,,0,,,,,21954,,,,,0,0,,,,False,False,False
2013-11-11,0,27,,0,,,,,21978,,,,,0,0,,,,False,False,False
2013-11-12,0,26,,0,,,,,22002,,,,,0,0,,,,False,False,False
2013-11-13,0,26,,0,,,,,22026,,,,,0,0,,,,False,False,False
2013-11-14,0,27,,0,,,,,22050,,,,,0,0,,,,False,False,False
2013-11-15,0,27,,0,,,,,22074,,,,,0,0,,,,False,False,False
2013-11-16,0,26,,0,,,,,22098,,,,,0,0,,,,False,False,False
2013-11-17,0,27,,0,,,,,22122,,,,,0,0,,,,False,False,False
2013-11-18,0,30,,0,,,,,22146,,,,,0,0,,,,False,False,False
2013-11-19,0,27,,0,,,,,22170,,,,,0,0,,,,False,False,False
2013-11-20,0,28,,0,,,,,22194,,,,,0,0,,,,False,False,False
2013-11-21,0,27,,1,,,,,22218,,,,,0,0,,,,False,False,False
2013-11-22,0,27,,0,,,,,22242,,,,,0,0,,,,False,False,False
2013-11-23,0,27,,65537,,,,,22266,,,,,0,0,,,,False,False,False
2013-11-24,0,27,,0,,,,,22290,,,,,0,0,,,,False,False,False
2013-11-25,0,27,,0,,,,,22314,,,,,0,0,,,,False,False,False
2013-11-26,0,27,,65536,,,,,22338,,,,,0,0,,,,False,False,False
2013-11-27,0,27,,0,,,,,22362,,,,,0,0,,,,False,False,False
2013-11-28,0,27,,0,,,,,22386,,,,,0,0,,,,False,False,False
2013-11-29,0,27,,65536,,,,,22410,,,,,0,0,,,,False,False,False
2013-11-30,0,27,,65537,,,,,22434,,,,,0,0,,,,False,False,False
2013-12-01,0,27,,65536,,,,,22458,,,,,0,0,,,,False,False,False
2013-12-02,0,28,,0,,,,,22482,,,,,0,0,,,,False,False,False
2013-12-03,0,27,,65536,,,,,22506,,,,,0,0,,,,False,False,False
2013-12-04,0,27,,65536,,,,,22530,,,,,0,0,,,,False,False,False
2013-12-05,0,27,,0,,,,,22554,,,,,0,0,,,,False,False,False
2013-12-06,0,27,,0,,,,,22578,,,,,0,0,,,,False,False,False
2013-12-07,0,27,,0,,,,,22602,,,,,0,0,,,,False,False,False
2013-12-08,0,27,,0,,,,,22626,,,,,0,0,,,,False,False,False
2013-12-09,0,27,,0,,,,,22650,,,,,0,0,,,,False,False,False
