date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,29,,0,,,,,19108,,,,,0,0,,,
2013-04-11,0,28,,0,,,,,19132,,,,,0,0,,,
2013-04-12,0,29,,0,,,,,19156,,,,,0,0,,,
2013-04-13,0,29,,0,,,,,19180,,,,,0,0,,,
2013-04-14,0,29,,0,,,,,19204,,,,,0,0,,,
2013-04-15,0,29,,0,,,,,19228,,,,,0,0,,,
2013-04-16,0,29,,0,,,,,19252,,,,,0,0,,,
2013-04-17,0,29,,0,,,,,19276,,,,,0,0,,,
2013-04-18,0,29,,0,,,,,19300,,,,,0,0,,,
2013-04-19,0,29,,0,,,,,19324,,,,,0,0,,,
2013-04-20,0,29,,0,,,,,19348,,,,,0,0,,,
2013-04-21,0,29,,0,,,,,19372,,,,,0,0,,,
2013-04-22,0,29,,0,,,,,19396,,,,,0,0,,,
2013-04-23,0,29,,0,,,,,19420,,,,,0,0,,,
2013-04-24,0,29,,0,,,,,19444,,,,,0,0,,,
2013-04-25,0,29,,0,,,,,19468,,,,,0,0,,,
2013-04-26,0,29,,0,,,,,19492,,,,,0,0,,,
2013-04-27,0,28,,0,,,,,19516,,,,,0,0,,,
2013-04-28,0,28,,0,,,,,19540,,,,,0,0,,,
2013-04-29,0,28,,0,,,,,19564,,,,,0,0,,,
2013-04-30,0,29,,0,,,,,19588,,,,,0,0,,,
2013-05-01,0,30,,0,,,,,19612,,,,,0,0,,,
2013-05-02,0,30,,0,,,,,19636,,,,,0,0,,,
2013-05-03,0,29,,0,,,,,19660,,,,,0,0,,,
2013-05-04,0,30,,0,,,,,19684,,,,,0,0,,,
2013-05-05,0,30,,0,,,,,19707,,,,,0,0,,,
2013-05-06,0,30,,0,,,,,19732,,,,,0,0,,,
2013-05-07,0,30,,0,,,,,19756,,,,,0,0,,,
2013-05-08,0,30,,0,,,,,19780,,,,,0,0,,,
2013-05-09,0,30,,0,,,,,19804,,,,,0,0,,,
2013-05-10,0,30,,0,,,,,19827,,,,,0,0,,,
2013-05-11,0,30,,0,,,,,19852,,,,,0,0,,,
2013-05-12,0,30,,0,,,,,19876,,,,,0,0,,,
2013-05-13,0,29,,0,,,,,19900,,,,,0,0,,,
2013-05-14,0,29,,0,,,,,19924,,,,,0,0,,,
2013-05-15,0,29,,0,,,,,19948,,,,,0,0,,,
2013-05-16,0,29,,0,,,,,19972,,,,,0,0,,,
2013-05-17,0,29,,0,,,,,19996,,,,,0,0,,,
2013-05-18,0,30,,0,,,,,20020,,,,,0,0,,,
2013-05-19,0,30,,0,,,,,20044,,,,,0,0,,,
2013-05-20,0,29,,0,,,,,20068,,,,,0,0,,,
2013-05-21,0,30,,0,,,,,20092,,,,,0,0,,,
2013-05-22,0,29,,0,,,,,20116,,,,,0,0,,,
2013-05-23,0,30,,0,,,,,20140,,,,,0,0,,,
2013-05-24,0,30,,0,,,,,20163,,,,,0,0,,,
2013-05-25,0,30,,0,,,,,20188,,,,,0,0,,,
2013-05-26,0,30,,0,,,,,20212,,,,,0,0,,,
2013-05-27,0,30,,0,,,,,20236,,,,,0,0,,,
2013-05-28,0,30,,0,,,,,20260,,,,,0,0,,,
2013-05-29,0,30,,0,,,,,20284,,,,,0,0,,,
2013-05-30,0,29,,0,,,,,20308,,,,,0,0,,,
2013-05-31,0,29,,0,,,,,20332,,,,,0,0,,,
2013-06-01,0,29,,0,,,,,20355,,,,,0,0,,,
2013-06-02,0,30,,0,,,,,20380,,,,,0,0,,,
2013-06-03,0,29,,0,,,,,20404,,,,,0,0,,,
2013-06-04,0,30,,0,,,,,20428,,,,,0,0,,,
2013-06-05,0,30,,0,,,,,20452,,,,,0,0,,,
2013-06-06,0,30,,0,,,,,20476,,,,,0,0,,,
2013-06-07,0,29,,0,,,,,20500,,,,,0,0,,,
2013-06-08,0,30,,0,,,,,20524,,,,,0,0,,,
2013-06-09,0,30,,0,,,,,20548,,,,,0,0,,,
2013-06-10,0,30,,0,,,,,20572,,,,,0,0,,,
2013-06-11,0,30,,0,,,,,20596,,,,,0,0,,,
2013-06-12,0,30,,0,,,,,20620,,,,,0,0,,,
2013-06-13,0,30,,0,,,,,20644,,,,,0,0,,,
2013-06-14,0,30,,0,,,,,20668,,,,,0,0,,,
2013-06-15,0,30,,0,,,,,20692,,,,,0,0,,,
2013-06-16,0,30,,0,,,,,20716,,,,,0,0,,,
2013-06-17,0,29,,0,,,,,20740,,,,,0,0,,,
2013-06-18,0,30,,0,,,,,20764,,,,,0,0,,,
2013-06-19,0,29,,0,,,,,20788,,,,,0,0,,,
2013-06-20,0,30,,0,,,,,20812,,,,,0,0,,,
2013-06-21,0,30,,0,,,,,20836,,,,,0,0,,,
2013-06-22,0,30,,0,,,,,20860,,,,,0,0,,,
2013-06-23,0,30,,0,,,,,20884,,,,,0,0,,,
2013-06-24,0,30,,0,,,,,20908,,,,,0,0,,,
2013-06-25,0,30,,0,,,,,20932,,,,,0,0,,,
2013-06-26,0,29,,0,,,,,20956,,,,,0,0,,,
