date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,32,,0,,,,,19791,,,,,0,0,,,,False,False,False
2013-04-11,0,32,,0,,,,,19815,,,,,0,0,,,,False,False,False
2013-04-12,0,32,,0,,,,,19839,,,,,0,0,,,,False,False,False
2013-04-13,0,32,,0,,,,,19863,,,,,0,0,,,,False,False,False
2013-04-14,0,32,,0,,,,,19887,,,,,0,0,,,,False,False,False
2013-04-15,0,32,,0,,,,,19911,,,,,0,0,,,,False,False,False
2013-04-16,0,32,,0,,,,,19935,,,,,0,0,,,,False,False,False
2013-04-17,0,32,,0,,,,,19959,,,,,0,0,,,,False,False,False
2013-04-18,0,32,,0,,,,,19983,,,,,0,0,,,,False,False,False
2013-04-19,0,32,,0,,,,,20007,,,,,0,0,,,,False,False,False
2013-04-20,0,32,,0,,,,,20031,,,,,0,0,,,,False,False,False
2013-04-21,0,33,,0,,,,,20055,,,,,0,0,,,,False,False,False
2013-04-22,0,32,,65536,,,,,20079,,,,,0,0,,,,False,False,False
2013-04-23,0,33,,0,,,,,20103,,,,,0,0,,,,False,False,False
2013-04-24,0,32,,0,,,,,20127,,,,,0,0,,,,False,False,False
2013-04-25,0,32,,0,,,,,20151,,,,,0,0,,,,False,False,False
2013-04-26,0,31,,0,,,,,20175,,,,,0,0,,,,False,False,False
2013-04-27,0,32,,0,,,,,20199,,,,,0,0,,,,False,False,False
2013-04-28,0,32,,0,,,,,20223,,,,,0,0,,,,False,False,False
2013-04-29,0,31,,0,,,,,20247,,,,,0,0,,,,False,False,False
2013-04-30,0,32,,0,,,,,20271,,,,,0,0,,,,False,False,False
2013-05-01,0,32,,0,,,,,20295,,,,,0,0,,,,False,False,False
2013-05-02,0,31,,0,,,,,20319,,,,,0,0,,,,False,False,False
2013-05-03,0,32,,0,,,,,20343,,,,,0,0,,,,False,False,False
