date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,26,,0,,,,,22278,,,,,0,0,,,
2013-04-11,0,26,,0,,,,,22302,,,,,0,0,,,
2013-04-12,0,26,,0,,,,,22326,,,,,0,0,,,
2013-04-13,0,26,,1,,,,,22350,,,,,0,0,,,
2013-04-14,0,26,,0,,,,,22374,,,,,0,0,,,
2013-04-15,0,26,,0,,,,,22398,,,,,0,0,,,
2013-04-16,0,26,,0,,,,,22422,,,,,0,0,,,
2013-04-17,0,26,,0,,,,,22446,,,,,0,0,,,
2013-04-18,0,26,,0,,,,,22470,,,,,0,0,,,
2013-04-19,0,26,,0,,,,,22494,,,,,0,0,,,
2013-04-20,0,26,,0,,,,,22518,,,,,0,0,,,
2013-04-21,0,26,,0,,,,,22542,,,,,0,0,,,
2013-04-22,0,26,,0,,,,,22566,,,,,0,0,,,
2013-04-23,0,26,,0,,,,,22590,,,,,0,0,,,
2013-04-24,0,26,,0,,,,,22614,,,,,0,0,,,
2013-04-25,0,26,,0,,,,,22638,,,,,0,0,,,
2013-04-26,0,26,,0,,,,,22662,,,,,0,0,,,
2013-04-27,0,26,,0,,,,,22686,,,,,0,0,,,
2013-04-28,0,25,,0,,,,,22710,,,,,0,0,,,
2013-04-29,0,25,,0,,,,,22734,,,,,0,0,,,
2013-04-30,0,25,,0,,,,,22758,,,,,0,0,,,
2013-05-01,0,25,,0,,,,,22782,,,,,0,0,,,
2013-05-02,0,25,,0,,,,,22806,,,,,0,0,,,
