date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-10-15,0,23,,0,,,,,1137,,,,,0,0,,,,False,False,False
2013-10-16,0,23,,0,,,,,1161,,,,,0,0,,,,False,False,False
2013-10-17,0,23,,0,,,,,1185,,,,,0,0,,,,False,False,False
2013-10-18,0,24,,0,,,,,1209,,,,,0,0,,,,False,False,False
2013-10-19,0,24,,0,,,,,1233,,,,,0,0,,,,False,False,False
2013-10-20,0,24,,0,,,,,1257,,,,,0,0,,,,False,False,False
2013-10-21,0,23,,0,,,,,1281,,,,,0,0,,,,False,False,False
2013-10-22,0,23,,0,,,,,1305,,,,,0,0,,,,False,False,False
2013-10-23,0,23,,0,,,,,1329,,,,,0,0,,,,False,False,False
2013-10-24,0,23,,0,,,,,1353,,,,,0,0,,,,False,False,False
2013-10-25,0,23,,0,,,,,1377,,,,,0,0,,,,False,False,False
2013-10-26,0,23,,0,,,,,1401,,,,,0,0,,,,False,False,False
2013-10-27,0,23,,0,,,,,1425,,,,,0,0,,,,False,False,False
2013-10-28,0,23,,0,,,,,1449,,,,,0,0,,,,False,False,False
2013-10-29,0,23,,0,,,,,1473,,,,,0,0,,,,False,False,False
